# File Name: Holy-Bible---Holy-Bible---Falam---Falam-Chin-Bible---Analysis.txt
# File Size: 24377       
# File Date: 12/13/2025 05:27:08
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Thukam Thar Lente Ṭon
# Bible Name English: Falam Chin Bible
# Bible Language: Lai
# Bible Language English: Chin, Falam
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=cfm
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Falam---Falam-Chin-Bible	ENCODING	Source	Holy-Bible---Falam---Falam-Chin-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Falam---Falam-Chin-Bible	ENCODING	Aionian	Holy-Bible---Falam---Falam-Chin-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Falam---Falam-Chin-Bible	BYTES	Source	bytes / chars	94023 / 92193 (multi-byte)	NOTICE
Falam---Falam-Chin-Bible	BYTES	Aionian	bytes / chars	98941 / 97120 (multi-byte)	NOTICE
Falam---Falam-Chin-Bible	BYTES	SourceClean	bytes / chars	93204 / 91374 (multi-byte)	NOTICE
Falam---Falam-Chin-Bible	BYTES	AionianClean	bytes / chars	97650 / 95831 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Falam---Falam-Chin-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Falam---Falam-Chin-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Falam---Falam-Chin-Bible	AIONIAN	Aionian	book-defined-not-exist	256	NOTICE
Falam---Falam-Chin-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Falam---Falam-Chin-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Falam---Falam-Chin-Bible	AIONIAN	Aionian	aionian-verses	8	NOTICE
Falam---Falam-Chin-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Falam---Falam-Chin-Bible	UNPRINTABLE	Source	count	0	NOTICE
Falam---Falam-Chin-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Falam---Falam-Chin-Bible	UNICODE	Summary	(-)Orginal	48	NOTICE
Falam---Falam-Chin-Bible	UNICODE	Summary	(+)Aionian	49	NOTICE
Falam---Falam-Chin-Bible	UNICODE	Source(-)	Basic Latin : (M)	776	NOTICE
Falam---Falam-Chin-Bible	UNICODE	Source(-)	Basic Latin : (A)	843	NOTICE
Falam---Falam-Chin-Bible	UNICODE	Source(-)	Basic Latin : (R)	691	NOTICE
Falam---Falam-Chin-Bible	UNICODE	Source(-)	Basic Latin : ( )	18415	NOTICE
Falam---Falam-Chin-Bible	UNICODE	Source(-)	Basic Latin : (1)	624	NOTICE
Falam---Falam-Chin-Bible	UNICODE	Source(-)	Basic Latin : (:)	694	NOTICE
Falam---Falam-Chin-Bible	UNICODE	Source(-)	Basic Latin : (P)	138	NOTICE
Falam---Falam-Chin-Bible	UNICODE	Source(-)	Basic Latin : (a)	11227	NOTICE
