# File Name: Holy-Bible---Holy-Bible---Finnish---Finnish-Pyha-Raamattu---Analysis.txt
# File Size: 23031       
# File Date: 12/13/2025 05:27:19
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Finnish Pyha Raamattu 1933/1938
# Bible Name English: Finnish Pyha Raamattu 1933/1938
# Bible Language: Suomen Kieli
# Bible Language English: Finnish
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Finnish Lutheran Church
# Bible Source Version: 2/7/2021
# Bible Source Link: https://unbound.biola.edu
# Bible Source Year: 1933, 1938
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Finnish---Finnish-Pyha-Raamattu	ENCODING	Source	Holy-Bible---Finnish---Finnish-Pyha-Raamattu---Source-Edition.UNBOUND.txt	UTF-8	NOTICE
Finnish---Finnish-Pyha-Raamattu	ENCODING	Aionian	Holy-Bible---Finnish---Finnish-Pyha-Raamattu---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Finnish---Finnish-Pyha-Raamattu	BYTES	Source	bytes / chars	4552534 / 4359166 (multi-byte)	NOTICE
Finnish---Finnish-Pyha-Raamattu	BYTES	Aionian	bytes / chars	4724242 / 4530686 (multi-byte)	NOTICE
Finnish---Finnish-Pyha-Raamattu	BYTES	SourceClean	bytes / chars	4551493 / 4358126 (multi-byte)	NOTICE
Finnish---Finnish-Pyha-Raamattu	BYTES	AionianClean	bytes / chars	4720566 / 4527011 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Finnish---Finnish-Pyha-Raamattu	AIONIAN	Aionian	book-not-exist	0	NOTICE
Finnish---Finnish-Pyha-Raamattu	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Finnish---Finnish-Pyha-Raamattu	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Finnish---Finnish-Pyha-Raamattu	AIONIAN	Aionian	missing-chapter	0	NOTICE
Finnish---Finnish-Pyha-Raamattu	AIONIAN	Aionian	missing-verse	0	NOTICE
Finnish---Finnish-Pyha-Raamattu	AIONIAN	Aionian	aionian-verses	264	NOTICE
Finnish---Finnish-Pyha-Raamattu	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Finnish---Finnish-Pyha-Raamattu	UNPRINTABLE	Source	count	0	NOTICE
Finnish---Finnish-Pyha-Raamattu	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Finnish---Finnish-Pyha-Raamattu	UNICODE	Summary	(-)Orginal	59	NOTICE
Finnish---Finnish-Pyha-Raamattu	UNICODE	Summary	(+)Aionian	63	NOTICE
Finnish---Finnish-Pyha-Raamattu	UNICODE	Source(-)	Basic Latin : (0)	16643	NOTICE
Finnish---Finnish-Pyha-Raamattu	UNICODE	Source(-)	Basic Latin : (1)	39695	NOTICE
Finnish---Finnish-Pyha-Raamattu	UNICODE	Source(-)	Basic Latin : (O)	24271	NOTICE
Finnish---Finnish-Pyha-Raamattu	UNICODE	Source(-)	Basic Latin : (\t)	93306	NOTICE
Finnish---Finnish-Pyha-Raamattu	UNICODE	Source(-)	Basic Latin : (A)	3734	NOTICE
