# File Name: Holy-Bible---Holy-Bible---Finnish---Open-Living-News---Analysis.txt
# File Size: 52082       
# File Date: 12/13/2025 05:27:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Suomi Avoin Elävä Uutinen
# Bible Name English: Finnish Open Living News
# Bible Language: Suomen Kieli
# Bible Language English: Finnish
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=fin
# Bible Source Year: 1976
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Finnish---Open-Living-News	ENCODING	Source	Holy-Bible---Finnish---Open-Living-News---Source-Edition.VPL.txt	UTF-8	NOTICE
Finnish---Open-Living-News	ENCODING	Aionian	Holy-Bible---Finnish---Open-Living-News---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Finnish---Open-Living-News	BYTES	Source	bytes / chars	1127691 / 1072314 (multi-byte)	NOTICE
Finnish---Open-Living-News	BYTES	Aionian	bytes / chars	1184258 / 1128690 (multi-byte)	NOTICE
Finnish---Open-Living-News	BYTES	SourceClean	bytes / chars	1126868 / 1071491 (multi-byte)	NOTICE
Finnish---Open-Living-News	BYTES	AionianClean	bytes / chars	1181945 / 1126380 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Finnish---Open-Living-News	AIONIAN	Aionian	book-not-exist	0	NOTICE
Finnish---Open-Living-News	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Finnish---Open-Living-News	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Finnish---Open-Living-News	AIONIAN	Aionian	missing-chapter	0	NOTICE
Finnish---Open-Living-News	AIONIAN	Aionian	missing-verse	0	NOTICE
Finnish---Open-Living-News	AIONIAN	Aionian	aionian-verses	200	NOTICE
Finnish---Open-Living-News	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Finnish---Open-Living-News	UNPRINTABLE	Source	count	0	NOTICE
Finnish---Open-Living-News	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Finnish---Open-Living-News	UNICODE	Summary	(-)Orginal	55	NOTICE
Finnish---Open-Living-News	UNICODE	Summary	(+)Aionian	60	NOTICE
Finnish---Open-Living-News	UNICODE	Source(-)	Basic Latin : (M)	4320	NOTICE
Finnish---Open-Living-News	UNICODE	Source(-)	Basic Latin : (A)	3498	NOTICE
Finnish---Open-Living-News	UNICODE	Source(-)	Basic Latin : (T)	3689	NOTICE
Finnish---Open-Living-News	UNICODE	Source(-)	Basic Latin : ( )	139840	NOTICE
Finnish---Open-Living-News	UNICODE	Source(-)	Basic Latin : (1)	7774	NOTICE
Finnish---Open-Living-News	UNICODE	Source(-)	Basic Latin : (:)	9459	NOTICE
Finnish---Open-Living-News	UNICODE	Source(-)	Basic Latin : (J)	6840	NOTICE
Finnish---Open-Living-News	UNICODE	Source(-)	Basic Latin : (e)	74860	NOTICE
Finnish---Open-Living-News	UNICODE	Source(-)	Basic Latin : (s)	58845	NOTICE
