# File Name: Holy-Bible---Holy-Bible---Flemish---Flemish-De-Jonge-Bible---Analysis.txt
# File Size: 24167       
# File Date: 12/13/2025 05:27:30
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Het Vlaams Nieuwe Testament
# Bible Name English: New Testament, Nicolaas De Jonge
# Bible Language: Vlaams
# Bible Language English: Flemish
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: British Foreign Bible biblianeerlandica.be/biografieen/de-jonge-nicolaas
# Bible Source Version: 4/29/2019
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=vlsJoNT
# Bible Source Year: 1890
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Flemish---Flemish-De-Jonge-Bible	ENCODING	Source	Holy-Bible---Flemish---Flemish-De-Jonge-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Flemish---Flemish-De-Jonge-Bible	ENCODING	Aionian	Holy-Bible---Flemish---Flemish-De-Jonge-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Flemish---Flemish-De-Jonge-Bible	BYTES	Source	bytes / chars	1360534 / 1358451 (multi-byte)	NOTICE
Flemish---Flemish-De-Jonge-Bible	BYTES	Aionian	bytes / chars	1120859 / 1118580 (multi-byte)	NOTICE
Flemish---Flemish-De-Jonge-Bible	BYTES	SourceClean	bytes / chars	1099739 / 1097656 (multi-byte)	NOTICE
Flemish---Flemish-De-Jonge-Bible	BYTES	AionianClean	bytes / chars	1118560 / 1116289 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Flemish---Flemish-De-Jonge-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Flemish---Flemish-De-Jonge-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Flemish---Flemish-De-Jonge-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Flemish---Flemish-De-Jonge-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Flemish---Flemish-De-Jonge-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Flemish---Flemish-De-Jonge-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Flemish---Flemish-De-Jonge-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Flemish---Flemish-De-Jonge-Bible	UNPRINTABLE	Source	count	0	NOTICE
Flemish---Flemish-De-Jonge-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Flemish---Flemish-De-Jonge-Bible	UNICODE	Summary	(-)Orginal	60	NOTICE
Flemish---Flemish-De-Jonge-Bible	UNICODE	Summary	(+)Aionian	62	NOTICE
Flemish---Flemish-De-Jonge-Bible	UNICODE	Source(-)	Basic Latin : ([)	1	NOTICE
Flemish---Flemish-De-Jonge-Bible	UNICODE	Source(-)	Basic Latin : ( )	189442	NOTICE
Flemish---Flemish-De-Jonge-Bible	UNICODE	Source(-)	Basic Latin : (T)	852	NOTICE
Flemish---Flemish-De-Jonge-Bible	UNICODE	Source(-)	Basic Latin : (e)	152583	NOTICE
