# File Name: Holy-Bible---Holy-Bible---French---French-Crampon-Bible-New---Analysis.txt
# File Size: 41178       
# File Date: 12/13/2025 05:28:06
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Sainte Bible néo-Crampon Libre
# Bible Name English: New Augustin Crampon Bible
# Bible Language: Français
# Bible Language English: French
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Crosswire Bible Society
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=francl
# Bible Source Year: 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
French---French-Crampon-Bible-New	ENCODING	Source	Holy-Bible---French---French-Crampon-Bible-New---Source-Edition.VPL.txt	UTF-8	NOTICE
French---French-Crampon-Bible-New	ENCODING	Aionian	Holy-Bible---French---French-Crampon-Bible-New---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
French---French-Crampon-Bible-New	BYTES	Source	bytes / chars	5384616 / 5097245 (multi-byte)	NOTICE
French---French-Crampon-Bible-New	BYTES	Aionian	bytes / chars	4840049 / 4632817 (multi-byte)	NOTICE
French---French-Crampon-Bible-New	BYTES	SourceClean	bytes / chars	5383773 / 5096402 (multi-byte)	NOTICE
French---French-Crampon-Bible-New	BYTES	AionianClean	bytes / chars	4836502 / 4629294 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
French---French-Crampon-Bible-New	AIONIAN	Aionian	book-not-exist	0	NOTICE
French---French-Crampon-Bible-New	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
French---French-Crampon-Bible-New	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
French---French-Crampon-Bible-New	AIONIAN	Aionian	missing-chapter	0	NOTICE
French---French-Crampon-Bible-New	AIONIAN	Aionian	missing-verse	0	NOTICE
French---French-Crampon-Bible-New	AIONIAN	Aionian	aionian-verses	264	NOTICE
French---French-Crampon-Bible-New	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
French---French-Crampon-Bible-New	UNPRINTABLE	Source	count	0	NOTICE
French---French-Crampon-Bible-New	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
French---French-Crampon-Bible-New	UNICODE	Summary	(-)Orginal	102	NOTICE
French---French-Crampon-Bible-New	UNICODE	Summary	(+)Aionian	101	NOTICE
French---French-Crampon-Bible-New	UNICODE	Source(-)	Basic Latin : (G)	3644	NOTICE
French---French-Crampon-Bible-New	UNICODE	Source(-)	Basic Latin : (E)	18097	NOTICE
French---French-Crampon-Bible-New	UNICODE	Source(-)	Basic Latin : (N)	6249	NOTICE
French---French-Crampon-Bible-New	UNICODE	Source(-)	Basic Latin : ( )	872419	NOTICE
French---French-Crampon-Bible-New	UNICODE	Source(-)	Basic Latin : (1)	35370	NOTICE
French---French-Crampon-Bible-New	UNICODE	Source(-)	Basic Latin : (:)	45580	NOTICE
French---French-Crampon-Bible-New	UNICODE	Source(-)	Basic Latin : (A)	18441	NOTICE
French---French-Crampon-Bible-New	UNICODE	Source(-)	Basic Latin : (u)	228026	NOTICE
