# File Name: Holy-Bible---Holy-Bible---French---French-LXX-TheoTex---Analysis.txt
# File Size: 149305      
# File Date: 12/13/2025 05:28:52
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Traduction de la LXX par P. GIGUET
# Bible Name English: LXX by P. GIGUET, TheoTex
# Bible Language: Français
# Bible Language English: French
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Translation of the LXX by Pierre Giguet and other translators, Fy Cyrille, TheoTex
# Bible Source Version: 4/25/2025
# Bible Source Link: https://www.crosswire.org/sword/modules/ModInfo.jsp?modName=FreLXXTheo
# Bible Source Year: 1872
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
French---French-LXX-TheoTex	ENCODING	Source	Holy-Bible---French---French-LXX-TheoTex---Source-Edition.SWORD.txt	UTF-8	NOTICE
French---French-LXX-TheoTex	ENCODING	Aionian	Holy-Bible---French---French-LXX-TheoTex---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
French---French-LXX-TheoTex	BYTES	Source	bytes / chars	4865264 / 4627519 (multi-byte)	NOTICE
French---French-LXX-TheoTex	BYTES	Aionian	bytes / chars	3668528 / 3522348 (multi-byte)	NOTICE
French---French-LXX-TheoTex	BYTES	SourceClean	bytes / chars	4701291 / 4463569 (multi-byte)	NOTICE
French---French-LXX-TheoTex	BYTES	AionianClean	bytes / chars	3665892 / 3519729 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
French---French-LXX-TheoTex	AIONIAN	Aionian	book-not-exist	0	NOTICE
French---French-LXX-TheoTex	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
French---French-LXX-TheoTex	AIONIAN	Aionian	book-defined-not-exist	200	NOTICE
French---French-LXX-TheoTex	AIONIAN	Aionian	missing-chapter	0	NOTICE
French---French-LXX-TheoTex	AIONIAN	Aionian	missing-verse	0	NOTICE
French---French-LXX-TheoTex	AIONIAN	Aionian	aionian-verses	64	NOTICE
French---French-LXX-TheoTex	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
French---French-LXX-TheoTex	UNPRINTABLE	Source	count	0	NOTICE
French---French-LXX-TheoTex	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
French---French-LXX-TheoTex	UNICODE	Summary	(-)Orginal	175	NOTICE
French---French-LXX-TheoTex	UNICODE	Summary	(+)Aionian	98	NOTICE
French---French-LXX-TheoTex	UNICODE	Source(-)	Basic Latin : ([)	166	NOTICE
French---French-LXX-TheoTex	UNICODE	Source(-)	Basic Latin : ( )	756106	NOTICE
French---French-LXX-TheoTex	UNICODE	Source(-)	Basic Latin : (T)	2674	NOTICE
French---French-LXX-TheoTex	UNICODE	Source(-)	Basic Latin : (e)	492379	NOTICE
French---French-LXX-TheoTex	UNICODE	Source(-)	Basic Latin : (s)	284063	NOTICE
French---French-LXX-TheoTex	UNICODE	Source(-)	Basic Latin : (t)	227554	NOTICE
French---French-LXX-TheoTex	UNICODE	Source(-)	Basic Latin : (a)	248797	NOTICE
French---French-LXX-TheoTex	UNICODE	Source(-)	Basic Latin : (m)	93460	NOTICE
