# File Name: Holy-Bible---Holy-Bible---French---French-Louis-Segond-1910-Bible---Analysis.txt
# File Size: 28204       
# File Date: 12/13/2025 05:29:01
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Louis Segond French Bible 1910
# Bible Name English: Louis Segond French Bible 1910
# Bible Language: Français
# Bible Language English: French
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Louis Segond
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=fraLSG
# Bible Source Year: 1910
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
French---French-Louis-Segond-1910-Bible	ENCODING	Source	Holy-Bible---French---French-Louis-Segond-1910-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
French---French-Louis-Segond-1910-Bible	ENCODING	Aionian	Holy-Bible---French---French-Louis-Segond-1910-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
French---French-Louis-Segond-1910-Bible	BYTES	Source	bytes / chars	4605266 / 4395343 (multi-byte)	NOTICE
French---French-Louis-Segond-1910-Bible	BYTES	Aionian	bytes / chars	4818867 / 4608883 (multi-byte)	NOTICE
French---French-Louis-Segond-1910-Bible	BYTES	SourceClean	bytes / chars	4604441 / 4394518 (multi-byte)	NOTICE
French---French-Louis-Segond-1910-Bible	BYTES	AionianClean	bytes / chars	4815363 / 4605402 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
French---French-Louis-Segond-1910-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
French---French-Louis-Segond-1910-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
French---French-Louis-Segond-1910-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
French---French-Louis-Segond-1910-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
French---French-Louis-Segond-1910-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
French---French-Louis-Segond-1910-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
French---French-Louis-Segond-1910-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
French---French-Louis-Segond-1910-Bible	UNPRINTABLE	Source	count	0	NOTICE
French---French-Louis-Segond-1910-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
French---French-Louis-Segond-1910-Bible	UNICODE	Summary	(-)Orginal	55	NOTICE
French---French-Louis-Segond-1910-Bible	UNICODE	Summary	(+)Aionian	58	NOTICE
French---French-Louis-Segond-1910-Bible	UNICODE	Source(-)	Basic Latin : (G)	3506	NOTICE
French---French-Louis-Segond-1910-Bible	UNICODE	Source(-)	Basic Latin : (E)	19129	NOTICE
French---French-Louis-Segond-1910-Bible	UNICODE	Source(-)	Basic Latin : ( )	753321	NOTICE
French---French-Louis-Segond-1910-Bible	UNICODE	Source(-)	Basic Latin : (1)	30495	NOTICE
French---French-Louis-Segond-1910-Bible	UNICODE	Source(-)	Basic Latin : (:)	39907	NOTICE
French---French-Louis-Segond-1910-Bible	UNICODE	Source(-)	Basic Latin : (A)	16068	NOTICE
French---French-Louis-Segond-1910-Bible	UNICODE	Source(-)	Basic Latin : (u)	196193	NOTICE
