# File Name: Holy-Bible---Holy-Bible---French---French-Oltramare-Bible---Analysis.txt
# File Size: 32180       
# File Date: 12/13/2025 05:29:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Nouveau Testament, Oltramare
# Bible Name English: New Testament, Oltramare
# Bible Language: Français
# Bible Language English: French
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Jean-Hugues Oltramare, University of Geneva, Protestant Bible Society, Paris
# Bible Source Version: 12/28/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=FreOltramare1874
# Bible Source Year: 1874
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
French---French-Oltramare-Bible	ENCODING	Source	Holy-Bible---French---French-Oltramare-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
French---French-Oltramare-Bible	ENCODING	Aionian	Holy-Bible---French---French-Oltramare-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
French---French-Oltramare-Bible	BYTES	Source	bytes / chars	1172987 / 1140483 (multi-byte)	NOTICE
French---French-Oltramare-Bible	BYTES	Aionian	bytes / chars	1176708 / 1143999 (multi-byte)	NOTICE
French---French-Oltramare-Bible	BYTES	SourceClean	bytes / chars	1152330 / 1119826 (multi-byte)	NOTICE
French---French-Oltramare-Bible	BYTES	AionianClean	bytes / chars	1174436 / 1141734 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
French---French-Oltramare-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
French---French-Oltramare-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
French---French-Oltramare-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
French---French-Oltramare-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
French---French-Oltramare-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
French---French-Oltramare-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
French---French-Oltramare-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
French---French-Oltramare-Bible	UNPRINTABLE	Source	count	0	NOTICE
French---French-Oltramare-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
French---French-Oltramare-Bible	UNICODE	Summary	(-)Orginal	88	NOTICE
French---French-Oltramare-Bible	UNICODE	Summary	(+)Aionian	89	NOTICE
French---French-Oltramare-Bible	UNICODE	Source(-)	Basic Latin : ([)	22	NOTICE
French---French-Oltramare-Bible	UNICODE	Source(-)	Basic Latin : ( )	188967	NOTICE
French---French-Oltramare-Bible	UNICODE	Source(-)	Basic Latin : (T)	849	NOTICE
French---French-Oltramare-Bible	UNICODE	Source(-)	Basic Latin : (e)	119655	NOTICE
French---French-Oltramare-Bible	UNICODE	Source(-)	Basic Latin : (s)	73049	NOTICE
French---French-Oltramare-Bible	UNICODE	Source(-)	Basic Latin : (t)	58494	NOTICE
French---French-Oltramare-Bible	UNICODE	Source(-)	Basic Latin : (a)	58834	NOTICE
French---French-Oltramare-Bible	UNICODE	Source(-)	Basic Latin : (m)	21356	NOTICE
French---French-Oltramare-Bible	UNICODE	Source(-)	Basic Latin : (n)	58173	NOTICE
