# File Name: Holy-Bible---Holy-Bible---French---French-Ostervald-Bible---Analysis.txt
# File Size: 34791       
# File Date: 12/13/2025 05:29:25
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ostervald French Bible
# Bible Name English: Ostervald French Bible
# Bible Language: Français
# Bible Language English: French
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Jean Frederic Ostervald
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=fra_fob
# Bible Source Year: 1744
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
French---French-Ostervald-Bible	ENCODING	Source	Holy-Bible---French---French-Ostervald-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
French---French-Ostervald-Bible	ENCODING	Aionian	Holy-Bible---French---French-Ostervald-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
French---French-Ostervald-Bible	BYTES	Source	bytes / chars	4583805 / 4467819 (multi-byte)	NOTICE
French---French-Ostervald-Bible	BYTES	Aionian	bytes / chars	4797619 / 4681466 (multi-byte)	NOTICE
French---French-Ostervald-Bible	BYTES	SourceClean	bytes / chars	4582994 / 4467008 (multi-byte)	NOTICE
French---French-Ostervald-Bible	BYTES	AionianClean	bytes / chars	4794127 / 4677997 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
French---French-Ostervald-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
French---French-Ostervald-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
French---French-Ostervald-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
French---French-Ostervald-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
French---French-Ostervald-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
French---French-Ostervald-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
French---French-Ostervald-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
French---French-Ostervald-Bible	UNPRINTABLE	Source	count	0	NOTICE
French---French-Ostervald-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
French---French-Ostervald-Bible	UNICODE	Summary	(-)Orginal	57	NOTICE
French---French-Ostervald-Bible	UNICODE	Summary	(+)Aionian	55	NOTICE
French---French-Ostervald-Bible	UNICODE	Source(-)	Basic Latin : (G)	3554	NOTICE
French---French-Ostervald-Bible	UNICODE	Source(-)	Basic Latin : (E)	21035	NOTICE
French---French-Ostervald-Bible	UNICODE	Source(-)	Basic Latin : ( )	772249	NOTICE
French---French-Ostervald-Bible	UNICODE	Source(-)	Basic Latin : (1)	30460	NOTICE
French---French-Ostervald-Bible	UNICODE	Source(-)	Basic Latin : (:)	39427	NOTICE
French---French-Ostervald-Bible	UNICODE	Source(-)	Basic Latin : (A)	16083	NOTICE
French---French-Ostervald-Bible	UNICODE	Source(-)	Basic Latin : (u)	199726	NOTICE
French---French-Ostervald-Bible	UNICODE	Source(-)	Basic Latin : (c)	84151	NOTICE
French---French-Ostervald-Bible	UNICODE	Source(-)	Basic Latin : (o)	167830	NOTICE
