# File Name: Holy-Bible---Holy-Bible---French---French-Stapfer-Bible---Analysis.txt
# File Size: 46129       
# File Date: 12/13/2025 05:29:45
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Nouveau Testament de Stapfer
# Bible Name English: Stapher New Testament
# Bible Language: Français
# Bible Language English: French
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Edmond Louis Stapfer, Fischbac Bookshop, Biblical Society of Paris
# Bible Source Version: 8/13/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=FreStapfer1889
# Bible Source Year: 1889, 1904, 1911
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
French---French-Stapfer-Bible	ENCODING	Source	Holy-Bible---French---French-Stapfer-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
French---French-Stapfer-Bible	ENCODING	Aionian	Holy-Bible---French---French-Stapfer-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
French---French-Stapfer-Bible	BYTES	Source	bytes / chars	1171262 / 1137951 (multi-byte)	NOTICE
French---French-Stapfer-Bible	BYTES	Aionian	bytes / chars	1169382 / 1135903 (multi-byte)	NOTICE
French---French-Stapfer-Bible	BYTES	SourceClean	bytes / chars	1150613 / 1117302 (multi-byte)	NOTICE
French---French-Stapfer-Bible	BYTES	AionianClean	bytes / chars	1167116 / 1133644 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
French---French-Stapfer-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
French---French-Stapfer-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
French---French-Stapfer-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
French---French-Stapfer-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
French---French-Stapfer-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
French---French-Stapfer-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
French---French-Stapfer-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
French---French-Stapfer-Bible	UNPRINTABLE	Source	count	0	NOTICE
French---French-Stapfer-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
French---French-Stapfer-Bible	UNICODE	Summary	(-)Orginal	62	NOTICE
French---French-Stapfer-Bible	UNICODE	Summary	(+)Aionian	63	NOTICE
French---French-Stapfer-Bible	UNICODE	Source(-)	Basic Latin : ([)	8	NOTICE
French---French-Stapfer-Bible	UNICODE	Source(-)	Basic Latin : ( )	192334	NOTICE
French---French-Stapfer-Bible	UNICODE	Source(-)	Basic Latin : (T)	1009	NOTICE
French---French-Stapfer-Bible	UNICODE	Source(-)	Basic Latin : (e)	118871	NOTICE
French---French-Stapfer-Bible	UNICODE	Source(-)	Basic Latin : (s)	71219	NOTICE
French---French-Stapfer-Bible	UNICODE	Source(-)	Basic Latin : (t)	57755	NOTICE
French---French-Stapfer-Bible	UNICODE	Source(-)	Basic Latin : (a)	58161	NOTICE
French---French-Stapfer-Bible	UNICODE	Source(-)	Basic Latin : (m)	21135	NOTICE
