# File Name: Holy-Bible---Holy-Bible---French---Geneva-Bible---Analysis.txt
# File Size: 26559       
# File Date: 10/24/2025 06:52:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Le Bible de Genève
# Bible Name English: French Geneva Bible
# Bible Language: Français
# Bible Language English: French
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Public Contribution
# Bible Source Version: 9/28/2025
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=FreGeneve1669
# Bible Source Year: 1669, 2015
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
French---Geneva-Bible	ENCODING	Source	Holy-Bible---French---Geneva-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
French---Geneva-Bible	ENCODING	Aionian	Holy-Bible---French---Geneva-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
French---Geneva-Bible	BYTES	Source	bytes / chars	1323882 / 1215000 (multi-byte)	NOTICE
French---Geneva-Bible	BYTES	Aionian	bytes / chars	1189217 / 1122432 (multi-byte)	NOTICE
French---Geneva-Bible	BYTES	SourceClean	bytes / chars	1235874 / 1126999 (multi-byte)	NOTICE
French---Geneva-Bible	BYTES	AionianClean	bytes / chars	1187024 / 1120247 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
French---Geneva-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
French---Geneva-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
French---Geneva-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
French---Geneva-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
French---Geneva-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
French---Geneva-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
French---Geneva-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
French---Geneva-Bible	UNPRINTABLE	Source	count	0	NOTICE
French---Geneva-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
French---Geneva-Bible	UNICODE	Summary	(-)Orginal	62	NOTICE
French---Geneva-Bible	UNICODE	Summary	(+)Aionian	61	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : ([)	1	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : ( )	188843	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : (T)	854	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : (e)	125233	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : (s)	40285	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : (t)	56561	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : (a)	54817	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : (m)	20625	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : (n)	59869	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : (2)	4752	NOTICE
French---Geneva-Bible	UNICODE	Source(-)	Basic Latin : (H)	462	NOTICE
