# File Name: Holy-Bible---Holy-Bible---Gamit---Gamit-Bible---Analysis.txt
# File Size: 37251       
# File Date: 12/13/2025 05:30:09
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ગામીત નોવો કરાર
# Bible Name English: Gamit Bible
# Bible Language: Gamit
# Bible Language English: Gamit
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wycliffe Bible Translators
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=gbl
# Bible Source Year: 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Gamit---Gamit-Bible	ENCODING	Source	Holy-Bible---Gamit---Gamit-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Gamit---Gamit-Bible	ENCODING	Aionian	Holy-Bible---Gamit---Gamit-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Gamit---Gamit-Bible	BYTES	Source	bytes / chars	2896378 / 1152878 (multi-byte)	NOTICE
Gamit---Gamit-Bible	BYTES	Aionian	bytes / chars	2955317 / 1211173 (multi-byte)	NOTICE
Gamit---Gamit-Bible	BYTES	SourceClean	bytes / chars	2895569 / 1152069 (multi-byte)	NOTICE
Gamit---Gamit-Bible	BYTES	AionianClean	bytes / chars	2952663 / 1208977 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Gamit---Gamit-Bible	AIONIAN	Aionian	missing-verse	066-REV-004-010	NOTICE
Gamit---Gamit-Bible	AIONIAN	Aionian	missing-verse	066-REV-020-013	NOTICE
Gamit---Gamit-Bible	AIONIAN	Aionian	missing-verse	066-REV-020-015	NOTICE
Gamit---Gamit-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Gamit---Gamit-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Gamit---Gamit-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Gamit---Gamit-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Gamit---Gamit-Bible	AIONIAN	Aionian	missing-verse	3	NOTICE
Gamit---Gamit-Bible	AIONIAN	Aionian	aionian-verses	197	NOTICE
Gamit---Gamit-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Gamit---Gamit-Bible	UNPRINTABLE	Source	count	0	NOTICE
Gamit---Gamit-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Gamit---Gamit-Bible	UNICODE	Summary	(-)Orginal	30	NOTICE
Gamit---Gamit-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Gamit---Gamit-Bible	UNICODE	Source(-)	Basic Latin : (M)	2311	NOTICE
Gamit---Gamit-Bible	UNICODE	Source(-)	Basic Latin : (A)	3007	NOTICE
Gamit---Gamit-Bible	UNICODE	Source(-)	Basic Latin : (T)	2499	NOTICE
Gamit---Gamit-Bible	UNICODE	Source(-)	Basic Latin : ( )	189243	NOTICE
Gamit---Gamit-Bible	UNICODE	Source(-)	Basic Latin : (1)	8013	NOTICE
Gamit---Gamit-Bible	UNICODE	Source(-)	Basic Latin : (:)	8047	NOTICE
