# File Name: Holy-Bible---Holy-Bible---Gata---Gata-Didayi-Bible---Analysis.txt
# File Size: 56273       
# File Date: 12/13/2025 05:30:41
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ସତ୍‌ ଗାଲି
# Bible Name English: Gata Didayi Bible
# Bible Language: ଡିଡାୟୀ
# Bible Language English: Gta Asa, Didayi
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=gaq
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Gata---Gata-Didayi-Bible	ENCODING	Source	Holy-Bible---Gata---Gata-Didayi-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Gata---Gata-Didayi-Bible	ENCODING	Aionian	Holy-Bible---Gata---Gata-Didayi-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Gata---Gata-Didayi-Bible	BYTES	Source	bytes / chars	3312079 / 1271597 (multi-byte)	NOTICE
Gata---Gata-Didayi-Bible	BYTES	Aionian	bytes / chars	3369976 / 1328912 (multi-byte)	NOTICE
Gata---Gata-Didayi-Bible	BYTES	SourceClean	bytes / chars	3311271 / 1270789 (multi-byte)	NOTICE
Gata---Gata-Didayi-Bible	BYTES	AionianClean	bytes / chars	3367427 / 1326757 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Gata---Gata-Didayi-Bible	AIONIAN	Aionian	book-not-exist	64	NOTICE
Gata---Gata-Didayi-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Gata---Gata-Didayi-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Gata---Gata-Didayi-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Gata---Gata-Didayi-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Gata---Gata-Didayi-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Gata---Gata-Didayi-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Gata---Gata-Didayi-Bible	UNPRINTABLE	Source	count	0	NOTICE
Gata---Gata-Didayi-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Gata---Gata-Didayi-Bible	UNICODE	Summary	(-)Orginal	27	NOTICE
Gata---Gata-Didayi-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Gata---Gata-Didayi-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Gata---Gata-Didayi-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Gata---Gata-Didayi-Bible	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Gata---Gata-Didayi-Bible	UNICODE	Source(-)	Basic Latin : ( )	180946	NOTICE
Gata---Gata-Didayi-Bible	UNICODE	Source(-)	Basic Latin : (1)	8052	NOTICE
Gata---Gata-Didayi-Bible	UNICODE	Source(-)	Basic Latin : (:)	8088	NOTICE
Gata---Gata-Didayi-Bible	UNICODE	Source(-)	Basic Latin : (\n)	7959	NOTICE
