# File Name: Holy-Bible---Holy-Bible---German---German-Albrecht---Analysis.txt
# File Size: 221440      
# File Date: 12/13/2025 05:30:51
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Deutsche Neues Testament, Psalmen
# Bible Name English: Albrecht New Testament and Psalms
# Bible Language: Deutsch
# Bible Language English: German
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Ludwig Albrecht
# Bible Source Version: 7/21/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=GerAlbrecht
# Bible Source Year: 1926
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
German---German-Albrecht	ENCODING	Source	Holy-Bible---German---German-Albrecht---Source-Edition.SWORD.txt	UTF-8	NOTICE
German---German-Albrecht	ENCODING	Aionian	Holy-Bible---German---German-Albrecht---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
German---German-Albrecht	BYTES	Source	bytes / chars	1705130 / 1683700 (multi-byte)	NOTICE
German---German-Albrecht	BYTES	Aionian	bytes / chars	1480542 / 1461977 (multi-byte)	NOTICE
German---German-Albrecht	BYTES	SourceClean	bytes / chars	1654579 / 1633149 (multi-byte)	NOTICE
German---German-Albrecht	BYTES	AionianClean	bytes / chars	1478281 / 1459716 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
German---German-Albrecht	AIONIAN	Aionian	book-not-exist	0	NOTICE
German---German-Albrecht	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
German---German-Albrecht	AIONIAN	Aionian	book-defined-not-exist	49	NOTICE
German---German-Albrecht	AIONIAN	Aionian	missing-chapter	0	NOTICE
German---German-Albrecht	AIONIAN	Aionian	missing-verse	0	NOTICE
German---German-Albrecht	AIONIAN	Aionian	aionian-verses	215	NOTICE
German---German-Albrecht	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
German---German-Albrecht	UNPRINTABLE	Source	count	0	NOTICE
German---German-Albrecht	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
German---German-Albrecht	UNICODE	Summary	(-)Orginal	96	NOTICE
German---German-Albrecht	UNICODE	Summary	(+)Aionian	92	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (P)	4753	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (s)	76100	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (a)	66021	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (l)	40744	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (m)	31888	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : ( )	261738	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (0)	2158	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (:)	14714	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (D)	6779	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (h)	65942	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (e)	202375	NOTICE
German---German-Albrecht	UNICODE	Source(-)	Basic Latin : (b)	20292	NOTICE
