# File Name: Holy-Bible---Holy-Bible---German---German-Katholiche-Riessler---Analysis.txt
# File Size: 180309      
# File Date: 12/13/2025 05:31:15
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Katholische Bibel, Paul Riessler
# Bible Name English: Catholic Bible, Paul Riessler
# Bible Language: Deutsch
# Bible Language English: German
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Paul Riessler and Ruppert Storr
# Bible Source Version: 7/21/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=GerGruenewald
# Bible Source Year: 1924
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
German---German-Katholiche-Riessler	ENCODING	Source	Holy-Bible---German---German-Katholiche-Riessler---Source-Edition.SWORD.txt	UTF-8	NOTICE
German---German-Katholiche-Riessler	ENCODING	Aionian	Holy-Bible---German---German-Katholiche-Riessler---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
German---German-Katholiche-Riessler	BYTES	Source	bytes / chars	4485843 / 4427818 (multi-byte)	NOTICE
German---German-Katholiche-Riessler	BYTES	Aionian	bytes / chars	4544381 / 4486168 (multi-byte)	NOTICE
German---German-Katholiche-Riessler	BYTES	SourceClean	bytes / chars	4458037 / 4400012 (multi-byte)	NOTICE
German---German-Katholiche-Riessler	BYTES	AionianClean	bytes / chars	4540848 / 4482635 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
German---German-Katholiche-Riessler	AIONIAN	Aionian	book-not-exist	0	NOTICE
German---German-Katholiche-Riessler	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
German---German-Katholiche-Riessler	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
German---German-Katholiche-Riessler	AIONIAN	Aionian	missing-chapter	0	NOTICE
German---German-Katholiche-Riessler	AIONIAN	Aionian	missing-verse	0	NOTICE
German---German-Katholiche-Riessler	AIONIAN	Aionian	aionian-verses	264	NOTICE
German---German-Katholiche-Riessler	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
German---German-Katholiche-Riessler	UNPRINTABLE	Source	count	0	NOTICE
German---German-Katholiche-Riessler	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
German---German-Katholiche-Riessler	UNICODE	Summary	(-)Orginal	67	NOTICE
German---German-Katholiche-Riessler	UNICODE	Summary	(+)Aionian	70	NOTICE
German---German-Katholiche-Riessler	UNICODE	Source(-)	Basic Latin : (G)	16584	NOTICE
German---German-Katholiche-Riessler	UNICODE	Source(-)	Basic Latin : (e)	543821	NOTICE
German---German-Katholiche-Riessler	UNICODE	Source(-)	Basic Latin : (n)	327409	NOTICE
German---German-Katholiche-Riessler	UNICODE	Source(-)	Basic Latin : (s)	202940	NOTICE
German---German-Katholiche-Riessler	UNICODE	Source(-)	Basic Latin : (i)	252489	NOTICE
German---German-Katholiche-Riessler	UNICODE	Source(-)	Basic Latin : ( )	701879	NOTICE
German---German-Katholiche-Riessler	UNICODE	Source(-)	Basic Latin : (1)	27158	NOTICE
German---German-Katholiche-Riessler	UNICODE	Source(-)	Basic Latin : (:)	39419	NOTICE
