# File Name: Holy-Bible---Holy-Bible---German---German-Luther-Bible-1545---Analysis.txt
# File Size: 38812       
# File Date: 12/13/2025 05:31:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Deutsche Bibel, Luther
# Bible Name English: Luther German Bible 1545
# Bible Language: Deutsch
# Bible Language English: German
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Martin Luther
# Bible Source Version: 2/7/2021
# Bible Source Link: https://unbound.biola.edu
# Bible Source Year: 1545
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
German---German-Luther-Bible-1545	ENCODING	Source	Holy-Bible---German---German-Luther-Bible-1545---Source-Edition.UNBOUND.txt	UTF-8	NOTICE
German---German-Luther-Bible-1545	ENCODING	Aionian	Holy-Bible---German---German-Luther-Bible-1545---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
German---German-Luther-Bible-1545	BYTES	Source	bytes / chars	4314998 / 4259416 (multi-byte)	NOTICE
German---German-Luther-Bible-1545	BYTES	Aionian	bytes / chars	4485577 / 4429807 (multi-byte)	NOTICE
German---German-Luther-Bible-1545	BYTES	SourceClean	bytes / chars	4313965 / 4258383 (multi-byte)	NOTICE
German---German-Luther-Bible-1545	BYTES	AionianClean	bytes / chars	4482156 / 4426386 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
German---German-Luther-Bible-1545	AIONIAN	Aionian	book-not-exist	0	NOTICE
German---German-Luther-Bible-1545	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
German---German-Luther-Bible-1545	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
German---German-Luther-Bible-1545	AIONIAN	Aionian	missing-chapter	0	NOTICE
German---German-Luther-Bible-1545	AIONIAN	Aionian	missing-verse	0	NOTICE
German---German-Luther-Bible-1545	AIONIAN	Aionian	aionian-verses	264	NOTICE
German---German-Luther-Bible-1545	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
German---German-Luther-Bible-1545	UNPRINTABLE	Source	count	0	NOTICE
German---German-Luther-Bible-1545	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
German---German-Luther-Bible-1545	UNICODE	Summary	(-)Orginal	64	NOTICE
German---German-Luther-Bible-1545	UNICODE	Summary	(+)Aionian	67	NOTICE
German---German-Luther-Bible-1545	UNICODE	Source(-)	Basic Latin : (0)	16357	NOTICE
German---German-Luther-Bible-1545	UNICODE	Source(-)	Basic Latin : (1)	38834	NOTICE
German---German-Luther-Bible-1545	UNICODE	Source(-)	Basic Latin : (O)	24833	NOTICE
German---German-Luther-Bible-1545	UNICODE	Source(-)	Basic Latin : (\t)	93306	NOTICE
German---German-Luther-Bible-1545	UNICODE	Source(-)	Basic Latin : (A)	9389	NOTICE
German---German-Luther-Bible-1545	UNICODE	Source(-)	Basic Latin : (m)	76119	NOTICE
German---German-Luther-Bible-1545	UNICODE	Source(-)	Basic Latin : ( )	647851	NOTICE
German---German-Luther-Bible-1545	UNICODE	Source(-)	Basic Latin : (n)	323874	NOTICE
German---German-Luther-Bible-1545	UNICODE	Source(-)	Basic Latin : (a)	173593	NOTICE
