# File Name: Holy-Bible---Holy-Bible---German---German-Reinhardt-Bible---Analysis.txt
# File Size: 37190       
# File Date: 12/13/2025 05:32:02
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Die Evangelien, Reinhardt
# Bible Name English: The Gospels by Ludwig Reinhardt
# Bible Language: Deutsch
# Bible Language English: German
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Ludwig Reinhardt
# Bible Source Version: 7/20/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=GerReinhardt
# Bible Source Year: 1910
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
German---German-Reinhardt-Bible	ENCODING	Source	Holy-Bible---German---German-Reinhardt-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
German---German-Reinhardt-Bible	ENCODING	Aionian	Holy-Bible---German---German-Reinhardt-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
German---German-Reinhardt-Bible	BYTES	Source	bytes / chars	514260 / 508458 (multi-byte)	NOTICE
German---German-Reinhardt-Bible	BYTES	Aionian	bytes / chars	520174 / 514501 (multi-byte)	NOTICE
German---German-Reinhardt-Bible	BYTES	SourceClean	bytes / chars	511378 / 505576 (multi-byte)	NOTICE
German---German-Reinhardt-Bible	BYTES	AionianClean	bytes / chars	518796 / 513123 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
German---German-Reinhardt-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
German---German-Reinhardt-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
German---German-Reinhardt-Bible	AIONIAN	Aionian	book-defined-not-exist	193	NOTICE
German---German-Reinhardt-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
German---German-Reinhardt-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
German---German-Reinhardt-Bible	AIONIAN	Aionian	aionian-verses	71	NOTICE
German---German-Reinhardt-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
German---German-Reinhardt-Bible	UNPRINTABLE	Source	count	0	NOTICE
German---German-Reinhardt-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
German---German-Reinhardt-Bible	UNICODE	Summary	(-)Orginal	77	NOTICE
German---German-Reinhardt-Bible	UNICODE	Summary	(+)Aionian	78	NOTICE
German---German-Reinhardt-Bible	UNICODE	Source(-)	Basic Latin : (M)	2693	NOTICE
German---German-Reinhardt-Bible	UNICODE	Source(-)	Basic Latin : (a)	22389	NOTICE
German---German-Reinhardt-Bible	UNICODE	Source(-)	Basic Latin : (t)	22005	NOTICE
German---German-Reinhardt-Bible	UNICODE	Source(-)	Basic Latin : (h)	22191	NOTICE
German---German-Reinhardt-Bible	UNICODE	Source(-)	Basic Latin : (e)	63507	NOTICE
German---German-Reinhardt-Bible	UNICODE	Source(-)	Basic Latin : (w)	6789	NOTICE
German---German-Reinhardt-Bible	UNICODE	Source(-)	Basic Latin : ( )	83348	NOTICE
German---German-Reinhardt-Bible	UNICODE	Source(-)	Basic Latin : (0)	637	NOTICE
