# File Name: Holy-Bible---Holy-Bible---German---German-Schlachter---Analysis.txt
# File Size: 418816      
# File Date: 12/13/2025 05:32:04
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Deutsche Bibel
# Bible Name English: Schlachter German Bible
# Bible Language: Deutsch
# Bible Language English: German
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Genfer Bibelgesellschaft
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=deu1951
# Bible Source Year: 1951
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
German---German-Schlachter	ENCODING	Source	Holy-Bible---German---German-Schlachter---Source-Edition.VPL.txt	UTF-8	NOTICE
German---German-Schlachter	ENCODING	Aionian	Holy-Bible---German---German-Schlachter---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
German---German-Schlachter	BYTES	Source	bytes / chars	4537375 / 4479002 (multi-byte)	NOTICE
German---German-Schlachter	BYTES	Aionian	bytes / chars	4739299 / 4680738 (multi-byte)	NOTICE
German---German-Schlachter	BYTES	SourceClean	bytes / chars	4536555 / 4478182 (multi-byte)	NOTICE
German---German-Schlachter	BYTES	AionianClean	bytes / chars	4735814 / 4677253 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
German---German-Schlachter	AIONIAN	Aionian	book-not-exist	0	NOTICE
German---German-Schlachter	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
German---German-Schlachter	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
German---German-Schlachter	AIONIAN	Aionian	missing-chapter	0	NOTICE
German---German-Schlachter	AIONIAN	Aionian	missing-verse	0	NOTICE
German---German-Schlachter	AIONIAN	Aionian	aionian-verses	264	NOTICE
German---German-Schlachter	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
German---German-Schlachter	UNPRINTABLE	Source	count	0	NOTICE
German---German-Schlachter	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
German---German-Schlachter	UNICODE	Summary	(-)Orginal	45	NOTICE
German---German-Schlachter	UNICODE	Summary	(+)Aionian	49	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (G)	18127	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : ( )	740830	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (1)	31542	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (:)	39690	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (m)	80892	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (A)	19945	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (n)	343436	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (a)	183260	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (g)	75842	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (s)	190095	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (c)	89390	NOTICE
German---German-Schlachter	UNICODE	Source(-)	Basic Latin : (h)	161737	NOTICE
