# File Name: Holy-Bible---Holy-Bible---German---Zurich-Bible---Analysis.txt
# File Size: 1984623     
# File Date: 12/13/2025 05:32:25
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Deutsche Zürcher Bibel
# Bible Name English: German Zurich Bible
# Bible Language: Deutsch
# Bible Language English: German
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Public Contribution
# Bible Source Version: 4/24/2021
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=GerZurcher
# Bible Source Year: 1931
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
German---Zurich-Bible	ENCODING	Source	Holy-Bible---German---Zurich-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
German---Zurich-Bible	ENCODING	Aionian	Holy-Bible---German---Zurich-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
German---Zurich-Bible	BYTES	Source	bytes / chars	5032015 / 4985049 (multi-byte)	NOTICE
German---Zurich-Bible	BYTES	Aionian	bytes / chars	4718740 / 4673127 (multi-byte)	NOTICE
German---Zurich-Bible	BYTES	SourceClean	bytes / chars	4927970 / 4881004 (multi-byte)	NOTICE
German---Zurich-Bible	BYTES	AionianClean	bytes / chars	4715255 / 4669643 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
German---Zurich-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
German---Zurich-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
German---Zurich-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
German---Zurich-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
German---Zurich-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
German---Zurich-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
German---Zurich-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
German---Zurich-Bible	UNPRINTABLE	Source	count	0	NOTICE
German---Zurich-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
German---Zurich-Bible	UNICODE	Summary	(-)Orginal	85	NOTICE
German---Zurich-Bible	UNICODE	Summary	(+)Aionian	87	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : ([)	53	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : ( )	811435	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : (T)	8871	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : (e)	585452	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : (s)	238556	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : (t)	185748	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : (a)	211342	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : (m)	92550	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : (n)	354586	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : (1)	47309	NOTICE
German---Zurich-Bible	UNICODE	Source(-)	Basic Latin : (H)	21838	NOTICE
