# File Name: Holy-Bible---Holy-Bible---Ghanongga---Kubokota-Adapt-Bible---Analysis.txt
# File Size: 327490      
# File Date: 12/13/2025 05:32:34
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ghanongga Kubokota Adapt Bible
# Bible Name English: Ghanongga Kubokota Adapt Bible
# Bible Language: Ghanongga
# Bible Language English: Ghanongga
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Seed Company
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=ghn
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Ghanongga---Kubokota-Adapt-Bible	ENCODING	Source	Holy-Bible---Ghanongga---Kubokota-Adapt-Bible---Source-Edition.VPL.txt	ASCII	WARNING
Ghanongga---Kubokota-Adapt-Bible	ENCODING	Aionian	Holy-Bible---Ghanongga---Kubokota-Adapt-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Ghanongga---Kubokota-Adapt-Bible	BYTES	Source	bytes / chars	1505377 / 1505377 (single-byte)	NOTICE
Ghanongga---Kubokota-Adapt-Bible	BYTES	Aionian	bytes / chars	1569258 / 1560006 (multi-byte)	NOTICE
Ghanongga---Kubokota-Adapt-Bible	BYTES	SourceClean	bytes / chars	1366034 / 1366034 (single-byte)	NOTICE
Ghanongga---Kubokota-Adapt-Bible	BYTES	AionianClean	bytes / chars	1567069 / 1557817 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Ghanongga---Kubokota-Adapt-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Ghanongga---Kubokota-Adapt-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Ghanongga---Kubokota-Adapt-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Ghanongga---Kubokota-Adapt-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Ghanongga---Kubokota-Adapt-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Ghanongga---Kubokota-Adapt-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Ghanongga---Kubokota-Adapt-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Ghanongga---Kubokota-Adapt-Bible	UNPRINTABLE	Source	count	0	NOTICE
Ghanongga---Kubokota-Adapt-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Ghanongga---Kubokota-Adapt-Bible	UNICODE	Summary	(-)Orginal	67	NOTICE
Ghanongga---Kubokota-Adapt-Bible	UNICODE	Summary	(+)Aionian	74	NOTICE
Ghanongga---Kubokota-Adapt-Bible	UNICODE	Source(-)	Basic Latin : (M)	3394	NOTICE
Ghanongga---Kubokota-Adapt-Bible	UNICODE	Source(-)	Basic Latin : (A)	4122	NOTICE
Ghanongga---Kubokota-Adapt-Bible	UNICODE	Source(-)	Basic Latin : (T)	5956	NOTICE
Ghanongga---Kubokota-Adapt-Bible	UNICODE	Source(-)	Basic Latin : ( )	253340	NOTICE
