# File Name: Holy-Bible---Holy-Bible---Gikuyu---Kikuyu---Analysis.txt
# File Size: 219372      
# File Date: 12/13/2025 05:32:40
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kiugo Gĩtheru Kĩa Ngai Kĩhingũre
# Bible Name English: Kikuyu Bible
# Bible Language: Kikuyu
# Bible Language English: Gikuyu
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=kik
# Bible Source Year: 2013
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Gikuyu---Kikuyu	ENCODING	Source	Holy-Bible---Gikuyu---Kikuyu---Source-Edition.VPL.txt	UTF-8	NOTICE
Gikuyu---Kikuyu	ENCODING	Aionian	Holy-Bible---Gikuyu---Kikuyu---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Gikuyu---Kikuyu	BYTES	Source	bytes / chars	5210847 / 4623036 (multi-byte)	NOTICE
Gikuyu---Kikuyu	BYTES	Aionian	bytes / chars	5422320 / 4836180 (multi-byte)	NOTICE
Gikuyu---Kikuyu	BYTES	SourceClean	bytes / chars	5210046 / 4622235 (multi-byte)	NOTICE
Gikuyu---Kikuyu	BYTES	AionianClean	bytes / chars	5418736 / 4832617 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Gikuyu---Kikuyu	AIONIAN	Aionian	book-not-exist	0	NOTICE
Gikuyu---Kikuyu	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Gikuyu---Kikuyu	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Gikuyu---Kikuyu	AIONIAN	Aionian	missing-chapter	0	NOTICE
Gikuyu---Kikuyu	AIONIAN	Aionian	missing-verse	0	NOTICE
Gikuyu---Kikuyu	AIONIAN	Aionian	aionian-verses	264	NOTICE
Gikuyu---Kikuyu	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Gikuyu---Kikuyu	UNPRINTABLE	Source	count	0	NOTICE
Gikuyu---Kikuyu	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Gikuyu---Kikuyu	UNICODE	Summary	(-)Orginal	47	NOTICE
Gikuyu---Kikuyu	UNICODE	Summary	(+)Aionian	50	NOTICE
Gikuyu---Kikuyu	UNICODE	Source(-)	Basic Latin : (G)	4705	NOTICE
Gikuyu---Kikuyu	UNICODE	Source(-)	Basic Latin : ( )	689388	NOTICE
Gikuyu---Kikuyu	UNICODE	Source(-)	Basic Latin : (1)	30669	NOTICE
Gikuyu---Kikuyu	UNICODE	Source(-)	Basic Latin : (:)	33615	NOTICE
Gikuyu---Kikuyu	UNICODE	Source(-)	Basic Latin : (a)	604248	NOTICE
Gikuyu---Kikuyu	UNICODE	Source(-)	Basic Latin : (m)	162039	NOTICE
Gikuyu---Kikuyu	UNICODE	Source(-)	Basic Latin : (b)	25769	NOTICE
Gikuyu---Kikuyu	UNICODE	Source(-)	Basic Latin : (r)	254171	NOTICE
