# File Name: Holy-Bible---Holy-Bible---Gofa---Gofa-Bible---Analysis.txt
# File Size: 1597926     
# File Date: 12/13/2025 05:32:52
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Gofa New Testament
# Bible Name English: Gofa New Testament
# Bible Language: Goofa
# Bible Language English: Gofa
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=gofwftw
# Bible Source Year: 2011-2013
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Gofa---Gofa-Bible	ENCODING	Source	Holy-Bible---Gofa---Gofa-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Gofa---Gofa-Bible	ENCODING	Aionian	Holy-Bible---Gofa---Gofa-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Gofa---Gofa-Bible	BYTES	Source	bytes / chars	1008132 / 998054 (multi-byte)	NOTICE
Gofa---Gofa-Bible	BYTES	Aionian	bytes / chars	1066728 / 1056462 (multi-byte)	NOTICE
Gofa---Gofa-Bible	BYTES	SourceClean	bytes / chars	1007330 / 997252 (multi-byte)	NOTICE
Gofa---Gofa-Bible	BYTES	AionianClean	bytes / chars	1064481 / 1054215 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Gofa---Gofa-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Gofa---Gofa-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Gofa---Gofa-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Gofa---Gofa-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Gofa---Gofa-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Gofa---Gofa-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Gofa---Gofa-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Gofa---Gofa-Bible	UNPRINTABLE	Source	count	0	NOTICE
Gofa---Gofa-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Gofa---Gofa-Bible	UNICODE	Summary	(-)Orginal	48	NOTICE
Gofa---Gofa-Bible	UNICODE	Summary	(+)Aionian	52	NOTICE
Gofa---Gofa-Bible	UNICODE	Source(-)	Basic Latin : (M)	2880	NOTICE
Gofa---Gofa-Bible	UNICODE	Source(-)	Basic Latin : (A)	5102	NOTICE
Gofa---Gofa-Bible	UNICODE	Source(-)	Basic Latin : (T)	3789	NOTICE
Gofa---Gofa-Bible	UNICODE	Source(-)	Basic Latin : ( )	127008	NOTICE
Gofa---Gofa-Bible	UNICODE	Source(-)	Basic Latin : (1)	8033	NOTICE
Gofa---Gofa-Bible	UNICODE	Source(-)	Basic Latin : (:)	8005	NOTICE
Gofa---Gofa-Bible	UNICODE	Source(-)	Basic Latin : (H)	4564	NOTICE
Gofa---Gofa-Bible	UNICODE	Source(-)	Basic Latin : (a)	152976	NOTICE
Gofa---Gofa-Bible	UNICODE	Source(-)	Basic Latin : (y)	33357	NOTICE
