# File Name: Holy-Bible---Holy-Bible---Gofa---Gofa-Bible-Ethiopian---Analysis.txt
# File Size: 698838      
# File Date: 12/13/2025 05:32:57
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ጌሻ ማፃፋ
# Bible Name English: Gofa Bible (Ethiopic)
# Bible Language: Goofa
# Bible Language English: Gofa
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=gofe
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Gofa---Gofa-Bible-Ethiopian	ENCODING	Source	Holy-Bible---Gofa---Gofa-Bible-Ethiopian---Source-Edition.VPL.txt	UTF-8	NOTICE
Gofa---Gofa-Bible-Ethiopian	ENCODING	Aionian	Holy-Bible---Gofa---Gofa-Bible-Ethiopian---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Gofa---Gofa-Bible-Ethiopian	BYTES	Source	bytes / chars	5501397 / 2356101 (multi-byte)	NOTICE
Gofa---Gofa-Bible-Ethiopian	BYTES	Aionian	bytes / chars	5709499 / 2568109 (multi-byte)	NOTICE
Gofa---Gofa-Bible-Ethiopian	BYTES	SourceClean	bytes / chars	5500570 / 2355274 (multi-byte)	NOTICE
Gofa---Gofa-Bible-Ethiopian	BYTES	AionianClean	bytes / chars	5705724 / 2564830 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Gofa---Gofa-Bible-Ethiopian	AIONIAN	Aionian	missing-verse	001-GEN-044-031	NOTICE
Gofa---Gofa-Bible-Ethiopian	AIONIAN	Aionian	missing-verse	043-JOH-003-015	NOTICE
Gofa---Gofa-Bible-Ethiopian	AIONIAN	Aionian	book-not-exist	0	NOTICE
Gofa---Gofa-Bible-Ethiopian	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Gofa---Gofa-Bible-Ethiopian	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Gofa---Gofa-Bible-Ethiopian	AIONIAN	Aionian	missing-chapter	0	NOTICE
Gofa---Gofa-Bible-Ethiopian	AIONIAN	Aionian	missing-verse	2	NOTICE
Gofa---Gofa-Bible-Ethiopian	AIONIAN	Aionian	aionian-verses	262	NOTICE
Gofa---Gofa-Bible-Ethiopian	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Gofa---Gofa-Bible-Ethiopian	UNPRINTABLE	Source	GEN 1:20 ሄሳፈ ጉየ፥ ፆሳይ፥ “ደኦይ ደእያ ዱማ ዱማ መተꬃት ሃꬃን ዳሮ፤ ካፎትካ ሳአፐ ቦላራ፥ ሳሎ ጉፋንꬆፈ ጋርሳን ፕራꬎ” ያግስ።	()	WARN
