# File Name: Holy-Bible---Holy-Bible---Gofa---Gofa-Bible-Latin---Analysis.txt
# File Size: 6865614     
# File Date: 09/02/2026 04:36:40
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Gofa Bible (Latin)
# Bible Name English: Gofa Bible (Latin)
# Bible Language: Goofa
# Bible Language English: Gofa
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 8/8/2026
# Bible Source Link: https://ebible.org/details.php?id=gofl
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Gofa---Gofa-Bible-Latin	ENCODING	Source	Holy-Bible---Gofa---Gofa-Bible-Latin---Source-Edition.VPL.txt	UTF-8	NOTICE
Gofa---Gofa-Bible-Latin	ENCODING	Aionian	Holy-Bible---Gofa---Gofa-Bible-Latin---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Gofa---Gofa-Bible-Latin	BYTES	Source	bytes / chars	3884440 / 3851818 (multi-byte)	NOTICE
Gofa---Gofa-Bible-Latin	BYTES	Aionian	bytes / chars	4097545 / 4064735 (multi-byte)	NOTICE
Gofa---Gofa-Bible-Latin	BYTES	SourceClean	bytes / chars	3883621 / 3850999 (multi-byte)	NOTICE
Gofa---Gofa-Bible-Latin	BYTES	AionianClean	bytes / chars	4094005 / 4061195 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Gofa---Gofa-Bible-Latin	AIONIAN	Aionian	missing-verse	001-GEN-044-031	NOTICE
Gofa---Gofa-Bible-Latin	AIONIAN	Aionian	missing-verse	043-JOH-003-015	NOTICE
Gofa---Gofa-Bible-Latin	AIONIAN	Aionian	book-not-exist	0	NOTICE
Gofa---Gofa-Bible-Latin	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Gofa---Gofa-Bible-Latin	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Gofa---Gofa-Bible-Latin	AIONIAN	Aionian	missing-chapter	0	NOTICE
Gofa---Gofa-Bible-Latin	AIONIAN	Aionian	missing-verse	2	NOTICE
Gofa---Gofa-Bible-Latin	AIONIAN	Aionian	aionian-verses	262	NOTICE
Gofa---Gofa-Bible-Latin	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Gofa---Gofa-Bible-Latin	UNPRINTABLE	Source	count	0	NOTICE
Gofa---Gofa-Bible-Latin	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Gofa---Gofa-Bible-Latin	UNICODE	Summary	(-)Orginal	50	NOTICE
Gofa---Gofa-Bible-Latin	UNICODE	Summary	(+)Aionian	54	NOTICE
Gofa---Gofa-Bible-Latin	UNICODE	Source(-)	Basic Latin : (G)	13402	NOTICE
Gofa---Gofa-Bible-Latin	UNICODE	Source(-)	Basic Latin : (E)	15683	NOTICE
Gofa---Gofa-Bible-Latin	UNICODE	Source(-)	Basic Latin : ( )	518083	NOTICE
Gofa---Gofa-Bible-Latin	UNICODE	Source(-)	Basic Latin : (1)	30485	NOTICE
