# File Name: Holy-Bible---Holy-Bible---Gowlan---Gowlan-Bible---Analysis.txt
# File Size: 23088       
# File Date: 12/13/2025 05:33:18
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: परमेश्वर को पवित्र वचन
# Bible Name English: Gowlan Bible
# Bible Language: Gowlan
# Bible Language English: Gowlan
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World South Asia
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=goj
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Gowlan---Gowlan-Bible	ENCODING	Source	Holy-Bible---Gowlan---Gowlan-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Gowlan---Gowlan-Bible	ENCODING	Aionian	Holy-Bible---Gowlan---Gowlan-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Gowlan---Gowlan-Bible	BYTES	Source	bytes / chars	2299687 / 956341 (multi-byte)	NOTICE
Gowlan---Gowlan-Bible	BYTES	Aionian	bytes / chars	2358899 / 1014927 (multi-byte)	NOTICE
Gowlan---Gowlan-Bible	BYTES	SourceClean	bytes / chars	2298874 / 955528 (multi-byte)	NOTICE
Gowlan---Gowlan-Bible	BYTES	AionianClean	bytes / chars	2356263 / 1012729 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Gowlan---Gowlan-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Gowlan---Gowlan-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Gowlan---Gowlan-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Gowlan---Gowlan-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Gowlan---Gowlan-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Gowlan---Gowlan-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Gowlan---Gowlan-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Gowlan---Gowlan-Bible	UNPRINTABLE	Source	count	0	NOTICE
Gowlan---Gowlan-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Gowlan---Gowlan-Bible	UNICODE	Summary	(-)Orginal	28	NOTICE
Gowlan---Gowlan-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Gowlan---Gowlan-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Gowlan---Gowlan-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Gowlan---Gowlan-Bible	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Gowlan---Gowlan-Bible	UNICODE	Source(-)	Basic Latin : ( )	197783	NOTICE
Gowlan---Gowlan-Bible	UNICODE	Source(-)	Basic Latin : (1)	8055	NOTICE
Gowlan---Gowlan-Bible	UNICODE	Source(-)	Basic Latin : (:)	7992	NOTICE
Gowlan---Gowlan-Bible	UNICODE	Source(-)	Basic Latin : (,)	9116	NOTICE
Gowlan---Gowlan-Bible	UNICODE	Source(-)	Basic Latin : (.)	10340	NOTICE
