# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Antoniades---Analysis.txt
# File Size: 21756       
# File Date: 12/13/2025 05:33:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Antoniades Patriarchal Edition
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution NonCommercial ShareAlike 4.0, 2018-2025
# Bible Copyright Text: Creative Commons Attribution NonCommercial ShareAlike 4.0
# Bible Source: Professor Vasileios Antoniades, Eucumenical Patriarchate of Constantinople
# Bible Source Version: 8/2/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Antoniades
# Bible Source Year: 1904, 1912
# Bible Description: Accent and breathing marks are omitted
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Antoniades	ENCODING	Source	Holy-Bible---Greek---Greek-Antoniades---Source-Edition.SWORD.txt	UTF-8	NOTICE
Greek---Greek-Antoniades	ENCODING	Aionian	Holy-Bible---Greek---Greek-Antoniades---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Antoniades	BYTES	Source	bytes / chars	5573537 / 4881356 (multi-byte)	NOTICE
Greek---Greek-Antoniades	BYTES	Aionian	bytes / chars	1658507 / 965800 (multi-byte)	NOTICE
Greek---Greek-Antoniades	BYTES	SourceClean	bytes / chars	1634682 / 942501 (multi-byte)	NOTICE
Greek---Greek-Antoniades	BYTES	AionianClean	bytes / chars	1655675 / 963306 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Antoniades	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Antoniades	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Antoniades	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Antoniades	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Antoniades	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Antoniades	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Antoniades	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Antoniades	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Antoniades	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Antoniades	UNICODE	Summary	(-)Orginal	51	NOTICE
Greek---Greek-Antoniades	UNICODE	Summary	(+)Aionian	62	NOTICE
Greek---Greek-Antoniades	UNICODE	Source(-)	Basic Latin : ([)	213	NOTICE
Greek---Greek-Antoniades	UNICODE	Source(-)	Basic Latin : ( )	151831	NOTICE
Greek---Greek-Antoniades	UNICODE	Source(-)	Basic Latin : (T)	405	NOTICE
Greek---Greek-Antoniades	UNICODE	Source(-)	Basic Latin : (e)	4595	NOTICE
Greek---Greek-Antoniades	UNICODE	Source(-)	Basic Latin : (s)	4017	NOTICE
Greek---Greek-Antoniades	UNICODE	Source(-)	Basic Latin : (t)	4980	NOTICE
Greek---Greek-Antoniades	UNICODE	Source(-)	Basic Latin : (a)	4640	NOTICE
