# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Byzantine---Analysis.txt
# File Size: 29581       
# File Date: 12/13/2025 05:33:31
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek NT Byzantine
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Antiquity
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=grcbyz
# Bible Source Year: 1904
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Byzantine	ENCODING	Source	Holy-Bible---Greek---Greek-Byzantine---Source-Edition.VPL.txt	UTF-8	NOTICE
Greek---Greek-Byzantine	ENCODING	Aionian	Holy-Bible---Greek---Greek-Byzantine---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Byzantine	BYTES	Source	bytes / chars	1756484 / 927019 (multi-byte)	NOTICE
Greek---Greek-Byzantine	BYTES	Aionian	bytes / chars	1815647 / 985656 (multi-byte)	NOTICE
Greek---Greek-Byzantine	BYTES	SourceClean	bytes / chars	1755691 / 926226 (multi-byte)	NOTICE
Greek---Greek-Byzantine	BYTES	AionianClean	bytes / chars	1813038 / 983385 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Byzantine	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Byzantine	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Byzantine	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Byzantine	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Byzantine	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Byzantine	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Byzantine	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Byzantine	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Byzantine	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Byzantine	UNICODE	Summary	(-)Orginal	28	NOTICE
Greek---Greek-Byzantine	UNICODE	Summary	(+)Aionian	55	NOTICE
Greek---Greek-Byzantine	UNICODE	Source(-)	Basic Latin : (M)	2314	NOTICE
Greek---Greek-Byzantine	UNICODE	Source(-)	Basic Latin : (A)	3012	NOTICE
Greek---Greek-Byzantine	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Greek---Greek-Byzantine	UNICODE	Source(-)	Basic Latin : ( )	148508	NOTICE
Greek---Greek-Byzantine	UNICODE	Source(-)	Basic Latin : (1)	8049	NOTICE
Greek---Greek-Byzantine	UNICODE	Source(-)	Basic Latin : (:)	7958	NOTICE
Greek---Greek-Byzantine	UNICODE	Source(-)	Basic Latin : (,)	10221	NOTICE
Greek---Greek-Byzantine	UNICODE	Source(-)	Basic Latin : (.)	5671	NOTICE
Greek---Greek-Byzantine	UNICODE	Source(-)	Basic Latin : (\n)	7958	NOTICE
