# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Byzantine-Majority---Analysis.txt
# File Size: 16324       
# File Date: 12/13/2025 05:33:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek NT Byzantine / Majority Text
# Bible Language: Ελληνική
# Bible Language English: Greek, Byzantine
# Bible Copyright Format: Creative Commons Attribution NonCommercial ShareAlike 4.0, 2018-2025
# Bible Copyright Text: Creative Commons Attribution NonCommercial ShareAlike 4.0
# Bible Source: Maurice A. Robinson and William G. Pierpont
# Bible Source Version: 2/7/2021
# Bible Source Link: https://unbound.biola.edu
# Bible Source Year: 2005
# Bible Description: Accent and breathing marks are omitted
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Byzantine-Majority	ENCODING	Source	Holy-Bible---Greek---Greek-Byzantine-Majority---Source-Edition.UNBOUND.txt	UTF-8	NOTICE
Greek---Greek-Byzantine-Majority	ENCODING	Aionian	Holy-Bible---Greek---Greek-Byzantine-Majority---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Byzantine-Majority	BYTES	Source	bytes / chars	1659214 / 968252 (multi-byte)	NOTICE
Greek---Greek-Byzantine-Majority	BYTES	Aionian	bytes / chars	1655600 / 964112 (multi-byte)	NOTICE
Greek---Greek-Byzantine-Majority	BYTES	SourceClean	bytes / chars	1658097 / 967135 (multi-byte)	NOTICE
Greek---Greek-Byzantine-Majority	BYTES	AionianClean	bytes / chars	1652830 / 961680 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Byzantine-Majority	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Byzantine-Majority	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Byzantine-Majority	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Byzantine-Majority	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Byzantine-Majority	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Byzantine-Majority	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Byzantine-Majority	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Byzantine-Majority	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Byzantine-Majority	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Byzantine-Majority	UNICODE	Summary	(-)Orginal	16	NOTICE
Greek---Greek-Byzantine-Majority	UNICODE	Summary	(+)Aionian	60	NOTICE
Greek---Greek-Byzantine-Majority	UNICODE	Source(-)	Basic Latin : (4)	12954	NOTICE
Greek---Greek-Byzantine-Majority	UNICODE	Source(-)	Basic Latin : (0)	12719	NOTICE
Greek---Greek-Byzantine-Majority	UNICODE	Source(-)	Basic Latin : (N)	7957	NOTICE
Greek---Greek-Byzantine-Majority	UNICODE	Source(-)	Basic Latin : (\t)	39785	NOTICE
Greek---Greek-Byzantine-Majority	UNICODE	Source(-)	Basic Latin : (1)	11431	NOTICE
Greek---Greek-Byzantine-Majority	UNICODE	Source(-)	Basic Latin : ( )	132309	NOTICE
