# File Name: Holy-Bible---Holy-Bible---Greek---Greek-LXX-Septuagint---Analysis.txt
# File Size: 110954      
# File Date: 12/13/2025 05:33:44
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H μετάφρασις τῶν Ἑβδομήκοντα
# Bible Name English: Greek Septuagint LXX
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution NoDerivatives NonCommercial 4.0, 2018-2025
# Bible Copyright Text: Copyright by Amato, Free NonCommercial Distribution
# Bible Source: LXX, 270 BC, Steve Amato, Boston Christian Bible Study Resources
# Bible Source Version: 3/23/2025
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX
# Bible Source Year: 1971
# Bible Description: Accent and breathing marks are omitted
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-LXX-Septuagint	ENCODING	Source	Holy-Bible---Greek---Greek-LXX-Septuagint---Source-Edition.SWORD.txt	UTF-8	NOTICE
Greek---Greek-LXX-Septuagint	ENCODING	Aionian	Holy-Bible---Greek---Greek-LXX-Septuagint---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-LXX-Septuagint	BYTES	Source	bytes / chars	22348920 / 18923158 (multi-byte)	NOTICE
Greek---Greek-LXX-Septuagint	BYTES	Aionian	bytes / chars	5877025 / 3146589 (multi-byte)	NOTICE
Greek---Greek-LXX-Septuagint	BYTES	SourceClean	bytes / chars	7357960 / 3933413 (multi-byte)	NOTICE
Greek---Greek-LXX-Septuagint	BYTES	AionianClean	bytes / chars	5873901 / 3143839 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-LXX-Septuagint	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-LXX-Septuagint	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-LXX-Septuagint	AIONIAN	Aionian	book-defined-not-exist	200	NOTICE
Greek---Greek-LXX-Septuagint	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-LXX-Septuagint	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-LXX-Septuagint	AIONIAN	Aionian	aionian-verses	64	NOTICE
Greek---Greek-LXX-Septuagint	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-LXX-Septuagint	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-LXX-Septuagint	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-LXX-Septuagint	UNICODE	Summary	(-)Orginal	212	NOTICE
Greek---Greek-LXX-Septuagint	UNICODE	Summary	(+)Aionian	189	NOTICE
Greek---Greek-LXX-Septuagint	UNICODE	Source(-)	Basic Latin : ([)	1	NOTICE
Greek---Greek-LXX-Septuagint	UNICODE	Source(-)	Basic Latin : ( )	636029	NOTICE
Greek---Greek-LXX-Septuagint	UNICODE	Source(-)	Basic Latin : (T)	266	NOTICE
Greek---Greek-LXX-Septuagint	UNICODE	Source(-)	Basic Latin : (e)	26623	NOTICE
Greek---Greek-LXX-Septuagint	UNICODE	Source(-)	Basic Latin : (s)	25986	NOTICE
