# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Pickering-Family-35---Analysis.txt
# File Size: 21663       
# File Date: 12/13/2025 05:34:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek Pickering Family 35
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution NonCommercial ShareAlike 4.0, 2018-2025
# Bible Copyright Text: Creative Commons Attribution NonCommercial ShareAlike 4.0
# Bible Source: Wilbur Pickering
# Bible Source Version: 8/12/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=f35
# Bible Source Year: 2015
# Bible Description: Accent and breathing marks are omitted
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Pickering-Family-35	ENCODING	Source	Holy-Bible---Greek---Greek-Pickering-Family-35---Source-Edition.SWORD.txt	UTF-8	NOTICE
Greek---Greek-Pickering-Family-35	ENCODING	Aionian	Holy-Bible---Greek---Greek-Pickering-Family-35---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Pickering-Family-35	BYTES	Source	bytes / chars	1655806 / 964847 (multi-byte)	NOTICE
Greek---Greek-Pickering-Family-35	BYTES	Aionian	bytes / chars	1655292 / 963807 (multi-byte)	NOTICE
Greek---Greek-Pickering-Family-35	BYTES	SourceClean	bytes / chars	1631501 / 940542 (multi-byte)	NOTICE
Greek---Greek-Pickering-Family-35	BYTES	AionianClean	bytes / chars	1652526 / 961379 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Pickering-Family-35	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Pickering-Family-35	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Pickering-Family-35	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Pickering-Family-35	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Pickering-Family-35	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Pickering-Family-35	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Pickering-Family-35	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Pickering-Family-35	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Pickering-Family-35	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Pickering-Family-35	UNICODE	Summary	(-)Orginal	49	NOTICE
Greek---Greek-Pickering-Family-35	UNICODE	Summary	(+)Aionian	60	NOTICE
Greek---Greek-Pickering-Family-35	UNICODE	Source(-)	Basic Latin : ([)	1	NOTICE
Greek---Greek-Pickering-Family-35	UNICODE	Source(-)	Basic Latin : ( )	151588	NOTICE
Greek---Greek-Pickering-Family-35	UNICODE	Source(-)	Basic Latin : (T)	405	NOTICE
Greek---Greek-Pickering-Family-35	UNICODE	Source(-)	Basic Latin : (e)	4594	NOTICE
Greek---Greek-Pickering-Family-35	UNICODE	Source(-)	Basic Latin : (s)	4014	NOTICE
Greek---Greek-Pickering-Family-35	UNICODE	Source(-)	Basic Latin : (t)	4977	NOTICE
