# File Name: Holy-Bible---Holy-Bible---Greek---Greek-SBL---Analysis.txt
# File Size: 41348       
# File Date: 12/13/2025 05:34:24
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek NT SBL
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Society of Biblical Literature and Logos Bible Software
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=grcsbl
# Bible Source Year: 2010
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-SBL	ENCODING	Source	Holy-Bible---Greek---Greek-SBL---Source-Edition.VPL.txt	UTF-8	NOTICE
Greek---Greek-SBL	ENCODING	Aionian	Holy-Bible---Greek---Greek-SBL---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-SBL	BYTES	Source	bytes / chars	1744280 / 914450 (multi-byte)	NOTICE
Greek---Greek-SBL	BYTES	Aionian	bytes / chars	1802858 / 972685 (multi-byte)	NOTICE
Greek---Greek-SBL	BYTES	SourceClean	bytes / chars	1743480 / 913650 (multi-byte)	NOTICE
Greek---Greek-SBL	BYTES	AionianClean	bytes / chars	1800196 / 970361 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-SBL	AIONIAN	Aionian	missing-verse	045-ROM-016-025	NOTICE
Greek---Greek-SBL	AIONIAN	Aionian	missing-verse	045-ROM-016-026	NOTICE
Greek---Greek-SBL	AIONIAN	Aionian	missing-verse	045-ROM-016-027	NOTICE
Greek---Greek-SBL	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-SBL	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-SBL	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-SBL	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-SBL	AIONIAN	Aionian	missing-verse	3	NOTICE
Greek---Greek-SBL	AIONIAN	Aionian	aionian-verses	197	NOTICE
Greek---Greek-SBL	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-SBL	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-SBL	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-SBL	UNICODE	Summary	(-)Orginal	36	NOTICE
Greek---Greek-SBL	UNICODE	Summary	(+)Aionian	54	NOTICE
Greek---Greek-SBL	UNICODE	Source(-)	Basic Latin : (M)	2304	NOTICE
Greek---Greek-SBL	UNICODE	Source(-)	Basic Latin : (A)	3000	NOTICE
Greek---Greek-SBL	UNICODE	Source(-)	Basic Latin : (T)	2494	NOTICE
Greek---Greek-SBL	UNICODE	Source(-)	Basic Latin : ( )	141724	NOTICE
Greek---Greek-SBL	UNICODE	Source(-)	Basic Latin : (1)	8034	NOTICE
Greek---Greek-SBL	UNICODE	Source(-)	Basic Latin : (:)	7939	NOTICE
Greek---Greek-SBL	UNICODE	Source(-)	Basic Latin : (.)	4988	NOTICE
