# File Name: Holy-Bible---Holy-Bible---Greek---Greek-STEPBible---Analysis.txt
# File Size: 36828       
# File Date: 12/13/2025 05:34:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek NT STEP Bible
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Tyndale House Cambridge
# Bible Source Version: 9/27/2025
# Bible Source Link: https://github.com/STEPBible/STEPBible-Data
# Bible Source Year: 2024
# Bible Description: Scripture Tools for Every Person
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-STEPBible	ENCODING	Source	Holy-Bible---Greek---Greek-STEPBible---Source-Edition.STEP.txt	UTF-8	NOTICE
Greek---Greek-STEPBible	ENCODING	Aionian	Holy-Bible---Greek---Greek-STEPBible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-STEPBible	BYTES	Source	bytes / chars	1886180 / 999598 (multi-byte)	NOTICE
Greek---Greek-STEPBible	BYTES	Aionian	bytes / chars	1940780 / 1053701 (multi-byte)	NOTICE
Greek---Greek-STEPBible	BYTES	SourceClean	bytes / chars	1885331 / 998749 (multi-byte)	NOTICE
Greek---Greek-STEPBible	BYTES	AionianClean	bytes / chars	1938081 / 1051340 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-STEPBible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-STEPBible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-STEPBible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-STEPBible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-STEPBible	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-STEPBible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-STEPBible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-STEPBible	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-STEPBible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-STEPBible	UNICODE	Summary	(-)Orginal	68	NOTICE
Greek---Greek-STEPBible	UNICODE	Summary	(+)Aionian	60	NOTICE
Greek---Greek-STEPBible	UNICODE	Source(-)	Basic Latin : (/)	78	NOTICE
Greek---Greek-STEPBible	UNICODE	Source(-)	Basic Latin : ( )	158044	NOTICE
Greek---Greek-STEPBible	UNICODE	Source(-)	Basic Latin : (S)	11	NOTICE
Greek---Greek-STEPBible	UNICODE	Source(-)	Basic Latin : (T)	396	NOTICE
Greek---Greek-STEPBible	UNICODE	Source(-)	Basic Latin : (E)	161	NOTICE
Greek---Greek-STEPBible	UNICODE	Source(-)	Basic Latin : (P)	313	NOTICE
Greek---Greek-STEPBible	UNICODE	Source(-)	Basic Latin : (B)	8	NOTICE
Greek---Greek-STEPBible	UNICODE	Source(-)	Basic Latin : (i)	565	NOTICE
Greek---Greek-STEPBible	UNICODE	Source(-)	Basic Latin : (b)	349	NOTICE
