# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Statistical-Restoration---Analysis.txt
# File Size: 43958       
# File Date: 12/13/2025 05:34:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek NT Statistical Restoration
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Alan Bunning
# Bible Source Version: 3/22/2025
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=StatResGNT
# Bible Source Year: 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Statistical-Restoration	ENCODING	Source	Holy-Bible---Greek---Greek-Statistical-Restoration---Source-Edition.SWORD.txt	UTF-8	NOTICE
Greek---Greek-Statistical-Restoration	ENCODING	Aionian	Holy-Bible---Greek---Greek-Statistical-Restoration---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Statistical-Restoration	BYTES	Source	bytes / chars	5632759 / 4808156 (multi-byte)	NOTICE
Greek---Greek-Statistical-Restoration	BYTES	Aionian	bytes / chars	1808684 / 985013 (multi-byte)	NOTICE
Greek---Greek-Statistical-Restoration	BYTES	SourceClean	bytes / chars	1787941 / 963338 (multi-byte)	NOTICE
Greek---Greek-Statistical-Restoration	BYTES	AionianClean	bytes / chars	1806000 / 982667 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Statistical-Restoration	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Statistical-Restoration	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Statistical-Restoration	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Statistical-Restoration	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Statistical-Restoration	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Statistical-Restoration	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Statistical-Restoration	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Statistical-Restoration	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Statistical-Restoration	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Statistical-Restoration	UNICODE	Summary	(-)Orginal	53	NOTICE
Greek---Greek-Statistical-Restoration	UNICODE	Summary	(+)Aionian	52	NOTICE
Greek---Greek-Statistical-Restoration	UNICODE	Source(-)	Basic Latin : ([)	1	NOTICE
Greek---Greek-Statistical-Restoration	UNICODE	Source(-)	Basic Latin : ( )	148389	NOTICE
Greek---Greek-Statistical-Restoration	UNICODE	Source(-)	Basic Latin : (T)	405	NOTICE
Greek---Greek-Statistical-Restoration	UNICODE	Source(-)	Basic Latin : (e)	4587	NOTICE
Greek---Greek-Statistical-Restoration	UNICODE	Source(-)	Basic Latin : (s)	4013	NOTICE
Greek---Greek-Statistical-Restoration	UNICODE	Source(-)	Basic Latin : (t)	4966	NOTICE
