# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Textus-Receptus-Boyd---Analysis.txt
# File Size: 30409       
# File Date: 12/13/2025 05:34:51
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Η Καινή Διαθήκη
# Bible Name English: Greek NT Textus Receptus Boyd
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: TR Contributors, Adam Boyd
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=grctr
# Bible Source Year: 1516
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Textus-Receptus-Boyd	ENCODING	Source	Holy-Bible---Greek---Greek-Textus-Receptus-Boyd---Source-Edition.VPL.txt	UTF-8	NOTICE
Greek---Greek-Textus-Receptus-Boyd	ENCODING	Aionian	Holy-Bible---Greek---Greek-Textus-Receptus-Boyd---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Textus-Receptus-Boyd	BYTES	Source	bytes / chars	1762406 / 933127 (multi-byte)	NOTICE
Greek---Greek-Textus-Receptus-Boyd	BYTES	Aionian	bytes / chars	1821613 / 991807 (multi-byte)	NOTICE
Greek---Greek-Textus-Receptus-Boyd	BYTES	SourceClean	bytes / chars	1761593 / 932314 (multi-byte)	NOTICE
Greek---Greek-Textus-Receptus-Boyd	BYTES	AionianClean	bytes / chars	1818965 / 989498 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Textus-Receptus-Boyd	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Textus-Receptus-Boyd	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Textus-Receptus-Boyd	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Textus-Receptus-Boyd	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Textus-Receptus-Boyd	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Textus-Receptus-Boyd	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Textus-Receptus-Boyd	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Textus-Receptus-Boyd	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Textus-Receptus-Boyd	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Textus-Receptus-Boyd	UNICODE	Summary	(-)Orginal	22	NOTICE
Greek---Greek-Textus-Receptus-Boyd	UNICODE	Summary	(+)Aionian	49	NOTICE
Greek---Greek-Textus-Receptus-Boyd	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Greek---Greek-Textus-Receptus-Boyd	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Greek---Greek-Textus-Receptus-Boyd	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Greek---Greek-Textus-Receptus-Boyd	UNICODE	Source(-)	Basic Latin : ( )	148858	NOTICE
Greek---Greek-Textus-Receptus-Boyd	UNICODE	Source(-)	Basic Latin : (1)	8048	NOTICE
