# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Textus-Receptus-Elzevir---Analysis.txt
# File Size: 22489       
# File Date: 12/13/2025 05:34:56
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek NT Textus Receptus Elzevir
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution NonCommercial ShareAlike 4.0, 2018-2025
# Bible Copyright Text: Creative Commons Attribution NonCommercial ShareAlike 4.0
# Bible Source: TR Contributors, Abraham and Bonaventure Elzevir, Robinson and Brannan
# Bible Source Version: 8/11/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Elzevir
# Bible Source Year: 1516, 1624
# Bible Description: Accent and breathing marks are omitted
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Textus-Receptus-Elzevir	ENCODING	Source	Holy-Bible---Greek---Greek-Textus-Receptus-Elzevir---Source-Edition.SWORD.txt	UTF-8	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	ENCODING	Aionian	Holy-Bible---Greek---Greek-Textus-Receptus-Elzevir---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Textus-Receptus-Elzevir	BYTES	Source	bytes / chars	5582730 / 4889378 (multi-byte)	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	BYTES	Aionian	bytes / chars	1660733 / 966855 (multi-byte)	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	BYTES	SourceClean	bytes / chars	1636885 / 943533 (multi-byte)	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	BYTES	AionianClean	bytes / chars	1657892 / 964352 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Textus-Receptus-Elzevir	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Textus-Receptus-Elzevir	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Textus-Receptus-Elzevir	UNICODE	Summary	(-)Orginal	49	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	UNICODE	Summary	(+)Aionian	62	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	UNICODE	Source(-)	Basic Latin : ([)	15	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	UNICODE	Source(-)	Basic Latin : ( )	152084	NOTICE
Greek---Greek-Textus-Receptus-Elzevir	UNICODE	Source(-)	Basic Latin : (T)	405	NOTICE
