# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Tischendorf---Analysis.txt
# File Size: 30022       
# File Date: 12/13/2025 05:35:01
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Tischendorf Greek New Testament
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Constantinus Tischendorf
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=grc-tisch
# Bible Source Year: 1849
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Tischendorf	ENCODING	Source	Holy-Bible---Greek---Greek-Tischendorf---Source-Edition.VPL.txt	UTF-8	NOTICE
Greek---Greek-Tischendorf	ENCODING	Aionian	Holy-Bible---Greek---Greek-Tischendorf---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Tischendorf	BYTES	Source	bytes / chars	1728106 / 912316 (multi-byte)	NOTICE
Greek---Greek-Tischendorf	BYTES	Aionian	bytes / chars	1787159 / 970843 (multi-byte)	NOTICE
Greek---Greek-Tischendorf	BYTES	SourceClean	bytes / chars	1727303 / 911513 (multi-byte)	NOTICE
Greek---Greek-Tischendorf	BYTES	AionianClean	bytes / chars	1784517 / 968539 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Tischendorf	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Tischendorf	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Tischendorf	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Tischendorf	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Tischendorf	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Tischendorf	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Tischendorf	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Tischendorf	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Tischendorf	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Tischendorf	UNICODE	Summary	(-)Orginal	28	NOTICE
Greek---Greek-Tischendorf	UNICODE	Summary	(+)Aionian	54	NOTICE
Greek---Greek-Tischendorf	UNICODE	Source(-)	Basic Latin : (M)	2305	NOTICE
Greek---Greek-Tischendorf	UNICODE	Source(-)	Basic Latin : (A)	3000	NOTICE
Greek---Greek-Tischendorf	UNICODE	Source(-)	Basic Latin : (T)	2494	NOTICE
Greek---Greek-Tischendorf	UNICODE	Source(-)	Basic Latin : ( )	145487	NOTICE
Greek---Greek-Tischendorf	UNICODE	Source(-)	Basic Latin : (1)	8034	NOTICE
Greek---Greek-Tischendorf	UNICODE	Source(-)	Basic Latin : (:)	7939	NOTICE
Greek---Greek-Tischendorf	UNICODE	Source(-)	Basic Latin : (.)	5692	NOTICE
Greek---Greek-Tischendorf	UNICODE	Source(-)	Basic Latin : (\n)	7939	NOTICE
Greek---Greek-Tischendorf	UNICODE	Source(-)	Basic Latin : (2)	5131	NOTICE
