# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Tregelles---Analysis.txt
# File Size: 41281       
# File Date: 12/13/2025 05:35:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek NT Tregelles
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution NonCommercial ShareAlike 4.0, 2018-2025
# Bible Copyright Text: Creative Commons Attribution NonCommercial ShareAlike 4.0
# Bible Source: Samuel Tregelles with help from Jongkind, Woodson, Pfister, Crellin, Williams
# Bible Source Version: 8/20/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=TNT
# Bible Source Year: 1879, 2009
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Tregelles	ENCODING	Source	Holy-Bible---Greek---Greek-Tregelles---Source-Edition.SWORD.txt	UTF-8	NOTICE
Greek---Greek-Tregelles	ENCODING	Aionian	Holy-Bible---Greek---Greek-Tregelles---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Tregelles	BYTES	Source	bytes / chars	1910379 / 1091078 (multi-byte)	NOTICE
Greek---Greek-Tregelles	BYTES	Aionian	bytes / chars	1798337 / 978944 (multi-byte)	NOTICE
Greek---Greek-Tregelles	BYTES	SourceClean	bytes / chars	1777614 / 958313 (multi-byte)	NOTICE
Greek---Greek-Tregelles	BYTES	AionianClean	bytes / chars	1795581 / 976526 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Tregelles	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Tregelles	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Tregelles	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Tregelles	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Tregelles	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Tregelles	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Tregelles	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Tregelles	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Tregelles	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Tregelles	UNICODE	Summary	(-)Orginal	79	NOTICE
Greek---Greek-Tregelles	UNICODE	Summary	(+)Aionian	85	NOTICE
Greek---Greek-Tregelles	UNICODE	Source(-)	Basic Latin : ([)	483	NOTICE
Greek---Greek-Tregelles	UNICODE	Source(-)	Basic Latin : ( )	151808	NOTICE
Greek---Greek-Tregelles	UNICODE	Source(-)	Basic Latin : (T)	405	NOTICE
Greek---Greek-Tregelles	UNICODE	Source(-)	Basic Latin : (e)	4605	NOTICE
Greek---Greek-Tregelles	UNICODE	Source(-)	Basic Latin : (s)	4017	NOTICE
Greek---Greek-Tregelles	UNICODE	Source(-)	Basic Latin : (t)	4986	NOTICE
Greek---Greek-Tregelles	UNICODE	Source(-)	Basic Latin : (a)	4642	NOTICE
Greek---Greek-Tregelles	UNICODE	Source(-)	Basic Latin : (m)	800	NOTICE
