# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Westcott-Hort---Analysis.txt
# File Size: 410494      
# File Date: 12/13/2025 05:35:11
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek NT Westcott / Hort
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: Creative Commons Attribution NonCommercial ShareAlike 4.0, 2018-2025
# Bible Copyright Text: Creative Commons Attribution NonCommercial ShareAlike 4.0
# Bible Source: Brooke Foss Westcott and Fenton John Anthony Hort
# Bible Source Version: 2/7/2021
# Bible Source Link: https://unbound.biola.edu
# Bible Source Year: 1881
# Bible Description: Accent and breathing marks are omitted
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Westcott-Hort	ENCODING	Source	Holy-Bible---Greek---Greek-Westcott-Hort---Source-Edition.UNBOUND.txt	UTF-8	NOTICE
Greek---Greek-Westcott-Hort	ENCODING	Aionian	Holy-Bible---Greek---Greek-Westcott-Hort---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Westcott-Hort	BYTES	Source	bytes / chars	1676091 / 988183 (multi-byte)	NOTICE
Greek---Greek-Westcott-Hort	BYTES	Aionian	bytes / chars	1668498 / 980064 (multi-byte)	NOTICE
Greek---Greek-Westcott-Hort	BYTES	SourceClean	bytes / chars	1674447 / 986782 (multi-byte)	NOTICE
Greek---Greek-Westcott-Hort	BYTES	AionianClean	bytes / chars	1665741 / 977645 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Greek---Greek-Westcott-Hort	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Westcott-Hort	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Westcott-Hort	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Greek---Greek-Westcott-Hort	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Westcott-Hort	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Westcott-Hort	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Westcott-Hort	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Greek---Greek-Westcott-Hort	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Westcott-Hort	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Westcott-Hort	UNICODE	Summary	(-)Orginal	42	NOTICE
Greek---Greek-Westcott-Hort	UNICODE	Summary	(+)Aionian	82	NOTICE
Greek---Greek-Westcott-Hort	UNICODE	Source(-)	Basic Latin : (4)	12955	NOTICE
Greek---Greek-Westcott-Hort	UNICODE	Source(-)	Basic Latin : (0)	12720	NOTICE
Greek---Greek-Westcott-Hort	UNICODE	Source(-)	Basic Latin : (N)	7958	NOTICE
Greek---Greek-Westcott-Hort	UNICODE	Source(-)	Basic Latin : (\t)	39790	NOTICE
Greek---Greek-Westcott-Hort	UNICODE	Source(-)	Basic Latin : (1)	12459	NOTICE
Greek---Greek-Westcott-Hort	UNICODE	Source(-)	Greek and Coptic : (β)	3542	NOTICE
