# File Name: Holy-Bible---Holy-Bible---Gujarati---Gujarati-Bible---Analysis.txt
# File Size: 28007       
# File Date: 12/13/2025 05:35:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ગુજરાતી બાઇબલ
# Bible Name English: Gujarati Bible
# Bible Language: ગુજરાતી
# Bible Language English: Gujarati
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bridge Connectivity Solutions
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=guj2017
# Bible Source Year: 2019
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Gujarati---Gujarati-Bible	ENCODING	Source	Holy-Bible---Gujarati---Gujarati-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Gujarati---Gujarati-Bible	ENCODING	Aionian	Holy-Bible---Gujarati---Gujarati-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Gujarati---Gujarati-Bible	BYTES	Source	bytes / chars	9896282 / 3988016 (multi-byte)	NOTICE
Gujarati---Gujarati-Bible	BYTES	Aionian	bytes / chars	10112153 / 4202426 (multi-byte)	NOTICE
Gujarati---Gujarati-Bible	BYTES	SourceClean	bytes / chars	9895453 / 3987187 (multi-byte)	NOTICE
Gujarati---Gujarati-Bible	BYTES	AionianClean	bytes / chars	10107214 / 4198761 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Gujarati---Gujarati-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Gujarati---Gujarati-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Gujarati---Gujarati-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Gujarati---Gujarati-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Gujarati---Gujarati-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Gujarati---Gujarati-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Gujarati---Gujarati-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Gujarati---Gujarati-Bible	UNPRINTABLE	Source	count	0	NOTICE
Gujarati---Gujarati-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Gujarati---Gujarati-Bible	UNICODE	Summary	(-)Orginal	31	NOTICE
Gujarati---Gujarati-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Gujarati---Gujarati-Bible	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Gujarati---Gujarati-Bible	UNICODE	Source(-)	Basic Latin : (E)	10915	NOTICE
Gujarati---Gujarati-Bible	UNICODE	Source(-)	Basic Latin : ( )	684007	NOTICE
Gujarati---Gujarati-Bible	UNICODE	Source(-)	Basic Latin : (1)	30448	NOTICE
Gujarati---Gujarati-Bible	UNICODE	Source(-)	Basic Latin : (:)	31945	NOTICE
Gujarati---Gujarati-Bible	UNICODE	Source(-)	Basic Latin : (.)	38905	NOTICE
Gujarati---Gujarati-Bible	UNICODE	Source(-)	Basic Latin : (\n)	31104	NOTICE
