# File Name: Holy-Bible---Holy-Bible---Haitian---Haitian-Creole-Bible---Analysis.txt
# File Size: 473849      
# File Date: 12/13/2025 05:35:55
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kreyòl Ayisyen Bible
# Bible Name English: Haitian Creole Bible
# Bible Language: Kreyòl Ayisyen
# Bible Language English: Haitian Creole
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Translator unknown / Contributed by eBible.org
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=hat
# Bible Source Year: 1985
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Haitian---Haitian-Creole-Bible	ENCODING	Source	Holy-Bible---Haitian---Haitian-Creole-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Haitian---Haitian-Creole-Bible	ENCODING	Aionian	Holy-Bible---Haitian---Haitian-Creole-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Haitian---Haitian-Creole-Bible	BYTES	Source	bytes / chars	4639898 / 4512192 (multi-byte)	NOTICE
Haitian---Haitian-Creole-Bible	BYTES	Aionian	bytes / chars	4844071 / 4716201 (multi-byte)	NOTICE
Haitian---Haitian-Creole-Bible	BYTES	SourceClean	bytes / chars	4639097 / 4511391 (multi-byte)	NOTICE
Haitian---Haitian-Creole-Bible	BYTES	AionianClean	bytes / chars	4840669 / 4712819 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Haitian---Haitian-Creole-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Haitian---Haitian-Creole-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Haitian---Haitian-Creole-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Haitian---Haitian-Creole-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Haitian---Haitian-Creole-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Haitian---Haitian-Creole-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Haitian---Haitian-Creole-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Haitian---Haitian-Creole-Bible	UNPRINTABLE	Source	count	0	NOTICE
Haitian---Haitian-Creole-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Haitian---Haitian-Creole-Bible	UNICODE	Summary	(-)Orginal	49	NOTICE
Haitian---Haitian-Creole-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Haitian---Haitian-Creole-Bible	UNICODE	Source(-)	Basic Latin : (G)	4172	NOTICE
Haitian---Haitian-Creole-Bible	UNICODE	Source(-)	Basic Latin : ( )	948996	NOTICE
Haitian---Haitian-Creole-Bible	UNICODE	Source(-)	Basic Latin : (1)	31491	NOTICE
Haitian---Haitian-Creole-Bible	UNICODE	Source(-)	Basic Latin : (:)	40490	NOTICE
Haitian---Haitian-Creole-Bible	UNICODE	Source(-)	Basic Latin : (a)	367648	NOTICE
Haitian---Haitian-Creole-Bible	UNICODE	Source(-)	Basic Latin : (n)	335101	NOTICE
Haitian---Haitian-Creole-Bible	UNICODE	Source(-)	Basic Latin : (k)	103430	NOTICE
