# File Name: Holy-Bible---Holy-Bible---Hebrew---Hebrew-Aleppo-Codex---Analysis.txt
# File Size: 28593       
# File Date: 12/13/2025 05:36:44
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: כתבי הקודש
# Bible Name English: Hebrew Aleppo Codex
# Bible Language: עברית
# Bible Language English: Hebrew
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Hebrew scholars from Tiberias, Israel
# Bible Source Version: 2/7/2021
# Bible Source Link: https://unbound.biola.edu
# Bible Source Year: 950
# Bible Description: Vowels and the Masorah are omitted
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Hebrew---Hebrew-Aleppo-Codex	ENCODING	Source	Holy-Bible---Hebrew---Hebrew-Aleppo-Codex---Source-Edition.UNBOUND.txt	UTF-8	NOTICE
Hebrew---Hebrew-Aleppo-Codex	ENCODING	Aionian	Holy-Bible---Hebrew---Hebrew-Aleppo-Codex---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Hebrew---Hebrew-Aleppo-Codex	BYTES	Source	bytes / chars	3292772 / 1998156 (multi-byte)	NOTICE
Hebrew---Hebrew-Aleppo-Codex	BYTES	Aionian	bytes / chars	3094791 / 1892771 (multi-byte)	NOTICE
Hebrew---Hebrew-Aleppo-Codex	BYTES	SourceClean	bytes / chars	3291752 / 1997136 (multi-byte)	NOTICE
Hebrew---Hebrew-Aleppo-Codex	BYTES	AionianClean	bytes / chars	3092075 / 1890275 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Hebrew---Hebrew-Aleppo-Codex	AIONIAN	Aionian	book-not-exist	0	NOTICE
Hebrew---Hebrew-Aleppo-Codex	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Hebrew---Hebrew-Aleppo-Codex	AIONIAN	Aionian	book-defined-not-exist	200	NOTICE
Hebrew---Hebrew-Aleppo-Codex	AIONIAN	Aionian	missing-chapter	0	NOTICE
Hebrew---Hebrew-Aleppo-Codex	AIONIAN	Aionian	missing-verse	0	NOTICE
Hebrew---Hebrew-Aleppo-Codex	AIONIAN	Aionian	aionian-verses	64	NOTICE
Hebrew---Hebrew-Aleppo-Codex	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Hebrew---Hebrew-Aleppo-Codex	UNPRINTABLE	Source	count	0	NOTICE
Hebrew---Hebrew-Aleppo-Codex	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Hebrew---Hebrew-Aleppo-Codex	UNICODE	Summary	(-)Orginal	87	NOTICE
Hebrew---Hebrew-Aleppo-Codex	UNICODE	Summary	(+)Aionian	70	NOTICE
Hebrew---Hebrew-Aleppo-Codex	UNICODE	Source(-)	Basic Latin : (0)	16401	NOTICE
Hebrew---Hebrew-Aleppo-Codex	UNICODE	Source(-)	Basic Latin : (1)	38980	NOTICE
Hebrew---Hebrew-Aleppo-Codex	UNICODE	Source(-)	Basic Latin : (O)	23145	NOTICE
Hebrew---Hebrew-Aleppo-Codex	UNICODE	Source(-)	Basic Latin : (\t)	93306	NOTICE
