# File Name: Holy-Bible---Holy-Bible---Hebrew---Hebrew-Masoretic-OT---Analysis.txt
# File Size: 18933       
# File Date: 12/13/2025 05:37:02
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: כתבי הקודש
# Bible Name English: Hebrew Masoretic Old Testament
# Bible Language: עברית
# Bible Language English: Hebrew
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Ancient Masorete Hebrew scholars
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=hbo
# Bible Source Year: 
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Hebrew---Hebrew-Masoretic-OT	ENCODING	Source	Holy-Bible---Hebrew---Hebrew-Masoretic-OT---Source-Edition.VPL.txt	UTF-8	NOTICE
Hebrew---Hebrew-Masoretic-OT	ENCODING	Aionian	Holy-Bible---Hebrew---Hebrew-Masoretic-OT---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Hebrew---Hebrew-Masoretic-OT	BYTES	Source	bytes / chars	5638912 / 3064290 (multi-byte)	NOTICE
Hebrew---Hebrew-Masoretic-OT	BYTES	Aionian	bytes / chars	5790915 / 3218223 (multi-byte)	NOTICE
Hebrew---Hebrew-Masoretic-OT	BYTES	SourceClean	bytes / chars	5638115 / 3063493 (multi-byte)	NOTICE
Hebrew---Hebrew-Masoretic-OT	BYTES	AionianClean	bytes / chars	5787960 / 3215624 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Hebrew---Hebrew-Masoretic-OT	AIONIAN	Aionian	book-not-exist	0	NOTICE
Hebrew---Hebrew-Masoretic-OT	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Hebrew---Hebrew-Masoretic-OT	AIONIAN	Aionian	book-defined-not-exist	200	NOTICE
Hebrew---Hebrew-Masoretic-OT	AIONIAN	Aionian	missing-chapter	0	NOTICE
Hebrew---Hebrew-Masoretic-OT	AIONIAN	Aionian	missing-verse	0	NOTICE
Hebrew---Hebrew-Masoretic-OT	AIONIAN	Aionian	aionian-verses	64	NOTICE
Hebrew---Hebrew-Masoretic-OT	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Hebrew---Hebrew-Masoretic-OT	UNPRINTABLE	Source	count	0	NOTICE
Hebrew---Hebrew-Masoretic-OT	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Hebrew---Hebrew-Masoretic-OT	UNICODE	Summary	(-)Orginal	27	NOTICE
Hebrew---Hebrew-Masoretic-OT	UNICODE	Summary	(+)Aionian	30	NOTICE
Hebrew---Hebrew-Masoretic-OT	UNICODE	Source(-)	Basic Latin : (N)	3679	NOTICE
Hebrew---Hebrew-Masoretic-OT	UNICODE	Source(-)	Basic Latin : ( )	290596	NOTICE
Hebrew---Hebrew-Masoretic-OT	UNICODE	Source(-)	Basic Latin : (1)	22456	NOTICE
Hebrew---Hebrew-Masoretic-OT	UNICODE	Source(-)	Basic Latin : (:)	23214	NOTICE
Hebrew---Hebrew-Masoretic-OT	UNICODE	Source(-)	Basic Latin : (\n)	23213	NOTICE
