# File Name: Holy-Bible---Holy-Bible---Hebrew---Salkinson-Hebrew-Bible---Analysis.txt
# File Size: 17343       
# File Date: 12/13/2025 05:37:53
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: הברית החדשה של סלקינסון
# Bible Name English: Salkinson Hebrew Bible
# Bible Language: עברית
# Bible Language English: Hebrew
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Salkinson and Ginsberg
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=hebsg
# Bible Source Year: 1886
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Hebrew---Salkinson-Hebrew-Bible	ENCODING	Source	Holy-Bible---Hebrew---Salkinson-Hebrew-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Hebrew---Salkinson-Hebrew-Bible	ENCODING	Aionian	Holy-Bible---Hebrew---Salkinson-Hebrew-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Hebrew---Salkinson-Hebrew-Bible	BYTES	Source	bytes / chars	1834210 / 1004690 (multi-byte)	NOTICE
Hebrew---Salkinson-Hebrew-Bible	BYTES	Aionian	bytes / chars	1893517 / 1063393 (multi-byte)	NOTICE
Hebrew---Salkinson-Hebrew-Bible	BYTES	SourceClean	bytes / chars	1833403 / 1003883 (multi-byte)	NOTICE
Hebrew---Salkinson-Hebrew-Bible	BYTES	AionianClean	bytes / chars	1890746 / 1061038 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Hebrew---Salkinson-Hebrew-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Hebrew---Salkinson-Hebrew-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Hebrew---Salkinson-Hebrew-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Hebrew---Salkinson-Hebrew-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Hebrew---Salkinson-Hebrew-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Hebrew---Salkinson-Hebrew-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Hebrew---Salkinson-Hebrew-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Hebrew---Salkinson-Hebrew-Bible	UNPRINTABLE	Source	count	0	NOTICE
Hebrew---Salkinson-Hebrew-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Hebrew---Salkinson-Hebrew-Bible	UNICODE	Summary	(-)Orginal	20	NOTICE
Hebrew---Salkinson-Hebrew-Bible	UNICODE	Summary	(+)Aionian	48	NOTICE
Hebrew---Salkinson-Hebrew-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Hebrew---Salkinson-Hebrew-Bible	UNICODE	Source(-)	Basic Latin : (A)	3014	NOTICE
Hebrew---Salkinson-Hebrew-Bible	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Hebrew---Salkinson-Hebrew-Bible	UNICODE	Source(-)	Basic Latin : ( )	109282	NOTICE
Hebrew---Salkinson-Hebrew-Bible	UNICODE	Source(-)	Basic Latin : (1)	8048	NOTICE
