# File Name: Holy-Bible---Holy-Bible---Hebrew---Westminster-Leningrad-Philadelphia---Analysis.txt
# File Size: 21260       
# File Date: 12/13/2025 05:37:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: כתבי הקודש
# Bible Name English: Westminster Leningrad Cdx Phila
# Bible Language: עברית
# Bible Language English: Hebrew
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: United Bible Societies
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=hebwlc
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Hebrew---Westminster-Leningrad-Philadelphia	ENCODING	Source	Holy-Bible---Hebrew---Westminster-Leningrad-Philadelphia---Source-Edition.VPL.txt	UTF-8	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	ENCODING	Aionian	Holy-Bible---Hebrew---Westminster-Leningrad-Philadelphia---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Hebrew---Westminster-Leningrad-Philadelphia	BYTES	Source	bytes / chars	5593278 / 3040111 (multi-byte)	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	BYTES	Aionian	bytes / chars	5748576 / 3195189 (multi-byte)	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	BYTES	SourceClean	bytes / chars	5592445 / 3039278 (multi-byte)	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	BYTES	AionianClean	bytes / chars	5745886 / 3192719 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Hebrew---Westminster-Leningrad-Philadelphia	AIONIAN	Aionian	book-not-exist	0	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	AIONIAN	Aionian	book-defined-not-exist	200	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	AIONIAN	Aionian	missing-chapter	0	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	AIONIAN	Aionian	missing-verse	0	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	AIONIAN	Aionian	aionian-verses	64	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Hebrew---Westminster-Leningrad-Philadelphia	UNPRINTABLE	Source	count	0	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Hebrew---Westminster-Leningrad-Philadelphia	UNICODE	Summary	(-)Orginal	23	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	UNICODE	Summary	(+)Aionian	29	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	UNICODE	Source(-)	Basic Latin : (N)	3679	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	UNICODE	Source(-)	Basic Latin : ( )	291582	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	UNICODE	Source(-)	Basic Latin : (1)	22456	NOTICE
Hebrew---Westminster-Leningrad-Philadelphia	UNICODE	Source(-)	Basic Latin : (:)	23213	NOTICE
