# File Name: Holy-Bible---Holy-Bible---Hindi---Hindi-Bible---Analysis.txt
# File Size: 1098872     
# File Date: 12/13/2025 05:38:29
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: पवित्र बाइबिल
# Bible Name English: Hindi Bible
# Bible Language: हिन्दी
# Bible Language English: Hindi
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bridge Connectivity Solutions
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=hin2017
# Bible Source Year: 2017, 2018, 2019
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Hindi---Hindi-Bible	ENCODING	Source	Holy-Bible---Hindi---Hindi-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Hindi---Hindi-Bible	ENCODING	Aionian	Holy-Bible---Hindi---Hindi-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Hindi---Hindi-Bible	BYTES	Source	bytes / chars	9831776 / 4059642 (multi-byte)	NOTICE
Hindi---Hindi-Bible	BYTES	Aionian	bytes / chars	9966951 / 4223155 (multi-byte)	NOTICE
Hindi---Hindi-Bible	BYTES	SourceClean	bytes / chars	9830959 / 4058825 (multi-byte)	NOTICE
Hindi---Hindi-Bible	BYTES	AionianClean	bytes / chars	9962450 / 4219640 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Hindi---Hindi-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Hindi---Hindi-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Hindi---Hindi-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Hindi---Hindi-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Hindi---Hindi-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Hindi---Hindi-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Hindi---Hindi-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Hindi---Hindi-Bible	UNPRINTABLE	Source	count	0	NOTICE
Hindi---Hindi-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Hindi---Hindi-Bible	UNICODE	Summary	(-)Orginal	69	NOTICE
Hindi---Hindi-Bible	UNICODE	Summary	(+)Aionian	93	NOTICE
Hindi---Hindi-Bible	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Hindi---Hindi-Bible	UNICODE	Source(-)	Basic Latin : (E)	10915	NOTICE
Hindi---Hindi-Bible	UNICODE	Source(-)	Basic Latin : ( )	811077	NOTICE
Hindi---Hindi-Bible	UNICODE	Source(-)	Basic Latin : (1)	34524	NOTICE
Hindi---Hindi-Bible	UNICODE	Source(-)	Basic Latin : (:)	35921	NOTICE
Hindi---Hindi-Bible	UNICODE	Source(-)	Devanagari : (आ)	14238	NOTICE
Hindi---Hindi-Bible	UNICODE	Source(-)	Devanagari : (द)	49881	NOTICE
Hindi---Hindi-Bible	UNICODE	Source(-)	Devanagari : (ि)	86378	NOTICE
Hindi---Hindi-Bible	UNICODE	Source(-)	Devanagari : (म)	95728	NOTICE
