# File Name: Holy-Bible---Holy-Bible---Hungarian---Hungarian-Jewish-Bible---Analysis.txt
# File Size: 41317       
# File Date: 12/13/2025 05:38:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Az Izraelita-Magyar Biblia
# Bible Name English: The Israeli-Hungarian Bible
# Bible Language: Magyar Nyelv
# Bible Language English: Hungarian
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: The Israelite Hungarian Literary Society
# Bible Source Version: 4/24/2021
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=HunIMIT
# Bible Source Year: 1898-1907, 1994
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Hungarian---Hungarian-Jewish-Bible	ENCODING	Source	Holy-Bible---Hungarian---Hungarian-Jewish-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Hungarian---Hungarian-Jewish-Bible	ENCODING	Aionian	Holy-Bible---Hungarian---Hungarian-Jewish-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Hungarian---Hungarian-Jewish-Bible	BYTES	Source	bytes / chars	3504733 / 3213184 (multi-byte)	NOTICE
Hungarian---Hungarian-Jewish-Bible	BYTES	Aionian	bytes / chars	3409165 / 3117722 (multi-byte)	NOTICE
Hungarian---Hungarian-Jewish-Bible	BYTES	SourceClean	bytes / chars	3373270 / 3081721 (multi-byte)	NOTICE
Hungarian---Hungarian-Jewish-Bible	BYTES	AionianClean	bytes / chars	3406519 / 3115118 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Hungarian---Hungarian-Jewish-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Hungarian---Hungarian-Jewish-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Hungarian---Hungarian-Jewish-Bible	AIONIAN	Aionian	book-defined-not-exist	200	NOTICE
Hungarian---Hungarian-Jewish-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Hungarian---Hungarian-Jewish-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Hungarian---Hungarian-Jewish-Bible	AIONIAN	Aionian	aionian-verses	64	NOTICE
Hungarian---Hungarian-Jewish-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Hungarian---Hungarian-Jewish-Bible	UNPRINTABLE	Source	count	0	NOTICE
Hungarian---Hungarian-Jewish-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Hungarian---Hungarian-Jewish-Bible	UNICODE	Summary	(-)Orginal	82	NOTICE
Hungarian---Hungarian-Jewish-Bible	UNICODE	Summary	(+)Aionian	84	NOTICE
Hungarian---Hungarian-Jewish-Bible	UNICODE	Source(-)	Basic Latin : ([)	7	NOTICE
Hungarian---Hungarian-Jewish-Bible	UNICODE	Source(-)	Basic Latin : ( )	442194	NOTICE
Hungarian---Hungarian-Jewish-Bible	UNICODE	Source(-)	Basic Latin : (T)	1081	NOTICE
Hungarian---Hungarian-Jewish-Bible	UNICODE	Source(-)	Basic Latin : (e)	253029	NOTICE
Hungarian---Hungarian-Jewish-Bible	UNICODE	Source(-)	Basic Latin : (s)	141834	NOTICE
