# File Name: Holy-Bible---Holy-Bible---Hungarian---Hungarian-Karoli---Analysis.txt
# File Size: 40081       
# File Date: 12/13/2025 05:38:57
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Revideált Károli Biblia 1908
# Bible Name English: Revised Hungarian Bible 1908
# Bible Language: Magyar Nyelv
# Bible Language English: Hungarian
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Károli Gáspár, Vizsoly, Hungary
# Bible Source Version: 10/24/2020
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=HunKar
# Bible Source Year: 1590, 1908
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Hungarian---Hungarian-Karoli	ENCODING	Source	Holy-Bible---Hungarian---Hungarian-Karoli---Source-Edition.SWORD.txt	UTF-8	NOTICE
Hungarian---Hungarian-Karoli	ENCODING	Aionian	Holy-Bible---Hungarian---Hungarian-Karoli---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Hungarian---Hungarian-Karoli	BYTES	Source	bytes / chars	4829764 / 4454206 (multi-byte)	NOTICE
Hungarian---Hungarian-Karoli	BYTES	Aionian	bytes / chars	4688560 / 4312707 (multi-byte)	NOTICE
Hungarian---Hungarian-Karoli	BYTES	SourceClean	bytes / chars	4649132 / 4273574 (multi-byte)	NOTICE
Hungarian---Hungarian-Karoli	BYTES	AionianClean	bytes / chars	4684938 / 4309152 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Hungarian---Hungarian-Karoli	AIONIAN	Aionian	book-not-exist	0	NOTICE
Hungarian---Hungarian-Karoli	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Hungarian---Hungarian-Karoli	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Hungarian---Hungarian-Karoli	AIONIAN	Aionian	missing-chapter	0	NOTICE
Hungarian---Hungarian-Karoli	AIONIAN	Aionian	missing-verse	0	NOTICE
Hungarian---Hungarian-Karoli	AIONIAN	Aionian	aionian-verses	264	NOTICE
Hungarian---Hungarian-Karoli	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Hungarian---Hungarian-Karoli	UNPRINTABLE	Source	count	0	NOTICE
Hungarian---Hungarian-Karoli	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Hungarian---Hungarian-Karoli	UNICODE	Summary	(-)Orginal	74	NOTICE
Hungarian---Hungarian-Karoli	UNICODE	Summary	(+)Aionian	77	NOTICE
Hungarian---Hungarian-Karoli	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
Hungarian---Hungarian-Karoli	UNICODE	Source(-)	Basic Latin : ( )	661452	NOTICE
Hungarian---Hungarian-Karoli	UNICODE	Source(-)	Basic Latin : (T)	2009	NOTICE
Hungarian---Hungarian-Karoli	UNICODE	Source(-)	Basic Latin : (e)	355532	NOTICE
Hungarian---Hungarian-Karoli	UNICODE	Source(-)	Basic Latin : (s)	194138	NOTICE
Hungarian---Hungarian-Karoli	UNICODE	Source(-)	Basic Latin : (t)	234696	NOTICE
Hungarian---Hungarian-Karoli	UNICODE	Source(-)	Basic Latin : (a)	292672	NOTICE
