# File Name: Holy-Bible---Holy-Bible---Ilonggo---Hiligaynon-Free-Bible---Analysis.txt
# File Size: 728956      
# File Date: 12/13/2025 05:39:48
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Libre Ang Pulong Sang Dios
# Bible Name English: Ilonggo Free Bible
# Bible Language: Binisayâ
# Bible Language English: Ilonggo
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=hil
# Bible Source Year: 1996, 2006, 2011, 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Ilonggo---Hiligaynon-Free-Bible	ENCODING	Source	Holy-Bible---Ilonggo---Hiligaynon-Free-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Ilonggo---Hiligaynon-Free-Bible	ENCODING	Aionian	Holy-Bible---Ilonggo---Hiligaynon-Free-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Ilonggo---Hiligaynon-Free-Bible	BYTES	Source	bytes / chars	5034229 / 5004738 (multi-byte)	NOTICE
Ilonggo---Hiligaynon-Free-Bible	BYTES	Aionian	bytes / chars	5243248 / 5214217 (multi-byte)	NOTICE
Ilonggo---Hiligaynon-Free-Bible	BYTES	SourceClean	bytes / chars	5033396 / 5003905 (multi-byte)	NOTICE
Ilonggo---Hiligaynon-Free-Bible	BYTES	AionianClean	bytes / chars	5239776 / 5210746 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	missing-verse	019-PSA-018-005	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	missing-verse	020-PRO-023-014	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	missing-verse	042-LUK-001-055	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	missing-verse	058-HEB-006-005	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	missing-verse	066-REV-020-015	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	missing-verse	5	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	aionian-verses	259	NOTICE
Ilonggo---Hiligaynon-Free-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Ilonggo---Hiligaynon-Free-Bible	UNPRINTABLE	Source	count	0	NOTICE
Ilonggo---Hiligaynon-Free-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Ilonggo---Hiligaynon-Free-Bible	UNICODE	Summary	(-)Orginal	56	NOTICE
