# File Name: Holy-Bible---Holy-Bible---Indonesian---Bahasa-Indonesia-Sehari-hari---Analysis.txt
# File Size: 340500      
# File Date: 12/13/2025 05:39:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bahasa Indonesia Sehari-hari
# Bible Name English: Everyday Indonesian Bible
# Bible Language: Bahasa Indonesia
# Bible Language English: Indonesian
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Indonesian Bible Society
# Bible Source Version: 10/23/2025
# Bible Source Link: https://bible4u.net/en/download#BIS
# Bible Source Year: 1985
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Indonesian---Bahasa-Indonesia-Sehari-hari	ENCODING	Source	Holy-Bible---Indonesian---Bahasa-Indonesia-Sehari-hari---Source-Edition.B4U.txt	ASCII	WARNING
Indonesian---Bahasa-Indonesia-Sehari-hari	ENCODING	Aionian	Holy-Bible---Indonesian---Bahasa-Indonesia-Sehari-hari---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Indonesian---Bahasa-Indonesia-Sehari-hari	BYTES	Source	bytes / chars	4764109 / 4764109 (single-byte)	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	BYTES	Aionian	bytes / chars	4918399 / 4918211 (multi-byte)	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	BYTES	SourceClean	bytes / chars	4762014 / 4762014 (single-byte)	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	BYTES	AionianClean	bytes / chars	4914914 / 4914726 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Indonesian---Bahasa-Indonesia-Sehari-hari	AIONIAN	Aionian	book-not-exist	0	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	AIONIAN	Aionian	missing-chapter	0	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	AIONIAN	Aionian	missing-verse	0	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	AIONIAN	Aionian	aionian-verses	264	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Indonesian---Bahasa-Indonesia-Sehari-hari	UNPRINTABLE	Source	count	0	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Indonesian---Bahasa-Indonesia-Sehari-hari	UNICODE	Summary	(-)Orginal	71	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	UNICODE	Summary	(+)Aionian	74	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	UNICODE	Source(-)	Basic Latin : (B)	6268	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	UNICODE	Source(-)	Basic Latin : (a)	765906	NOTICE
Indonesian---Bahasa-Indonesia-Sehari-hari	UNICODE	Source(-)	Basic Latin : (h)	109849	NOTICE
