# File Name: Holy-Bible---Holy-Bible---Irish---Odomhnuill-Modern---Analysis.txt
# File Size: 18300       
# File Date: 12/13/2025 05:40:28
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Irish O'Domhnuill Modernized
# Bible Name English: Irish O'Domhnuill Modernized
# Bible Language: Irish
# Bible Language English: Irish
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: O'Domhnuill, O'Cionga, O'Kearney, Walsh, Donellan
# Bible Source Version: 7/21/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=IriODomhnuill
# Bible Source Year: 1602, 1817
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Irish---Odomhnuill-Modern	ENCODING	Source	Holy-Bible---Irish---Odomhnuill-Modern---Source-Edition.SWORD.txt	UTF-8	NOTICE
Irish---Odomhnuill-Modern	ENCODING	Aionian	Holy-Bible---Irish---Odomhnuill-Modern---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Irish---Odomhnuill-Modern	BYTES	Source	bytes / chars	186798 / 178410 (multi-byte)	NOTICE
Irish---Odomhnuill-Modern	BYTES	Aionian	bytes / chars	175895 / 167632 (multi-byte)	NOTICE
Irish---Odomhnuill-Modern	BYTES	SourceClean	bytes / chars	169108 / 160720 (multi-byte)	NOTICE
Irish---Odomhnuill-Modern	BYTES	AionianClean	bytes / chars	174579 / 166318 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Irish---Odomhnuill-Modern	AIONIAN	Aionian	book-not-exist	0	NOTICE
Irish---Odomhnuill-Modern	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Irish---Odomhnuill-Modern	AIONIAN	Aionian	book-defined-not-exist	250	NOTICE
Irish---Odomhnuill-Modern	AIONIAN	Aionian	missing-chapter	0	NOTICE
Irish---Odomhnuill-Modern	AIONIAN	Aionian	missing-verse	0	NOTICE
Irish---Odomhnuill-Modern	AIONIAN	Aionian	aionian-verses	14	NOTICE
Irish---Odomhnuill-Modern	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Irish---Odomhnuill-Modern	UNPRINTABLE	Source	count	0	NOTICE
Irish---Odomhnuill-Modern	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Irish---Odomhnuill-Modern	UNICODE	Summary	(-)Orginal	31	NOTICE
Irish---Odomhnuill-Modern	UNICODE	Summary	(+)Aionian	34	NOTICE
Irish---Odomhnuill-Modern	UNICODE	Source(-)	Basic Latin : (L)	1165	NOTICE
Irish---Odomhnuill-Modern	UNICODE	Source(-)	Basic Latin : (u)	6289	NOTICE
Irish---Odomhnuill-Modern	UNICODE	Source(-)	Basic Latin : (k)	1139	NOTICE
Irish---Odomhnuill-Modern	UNICODE	Source(-)	Basic Latin : (e)	5913	NOTICE
Irish---Odomhnuill-Modern	UNICODE	Source(-)	Basic Latin : ( )	27641	NOTICE
Irish---Odomhnuill-Modern	UNICODE	Source(-)	Basic Latin : (:)	1454	NOTICE
Irish---Odomhnuill-Modern	UNICODE	Source(-)	Basic Latin : (0)	215	NOTICE
