# File Name: Holy-Bible---Holy-Bible---Janji---Janji-Bible---Analysis.txt
# File Size: 30523       
# File Date: 12/13/2025 05:40:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Janji Bible
# Bible Name English: Janji Bible
# Bible Language: Ajanji
# Bible Language English: Janji
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: C. Ishaya, D. Danjuma, A. Danjuma, I. Kubgak, T. Danjuma
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=jni
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Janji---Janji-Bible	ENCODING	Source	Holy-Bible---Janji---Janji-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Janji---Janji-Bible	ENCODING	Aionian	Holy-Bible---Janji---Janji-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Janji---Janji-Bible	BYTES	Source	bytes / chars	960409 / 956119 (multi-byte)	NOTICE
Janji---Janji-Bible	BYTES	Aionian	bytes / chars	1018883 / 1014405 (multi-byte)	NOTICE
Janji---Janji-Bible	BYTES	SourceClean	bytes / chars	959600 / 955310 (multi-byte)	NOTICE
Janji---Janji-Bible	BYTES	AionianClean	bytes / chars	1016651 / 1012173 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Janji---Janji-Bible	AIONIAN	Aionian	missing-verse	040-MAT-025-046	NOTICE
Janji---Janji-Bible	AIONIAN	Aionian	book-not-exist	64	NOTICE
Janji---Janji-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Janji---Janji-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Janji---Janji-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Janji---Janji-Bible	AIONIAN	Aionian	missing-verse	1	NOTICE
Janji---Janji-Bible	AIONIAN	Aionian	aionian-verses	199	NOTICE
Janji---Janji-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Janji---Janji-Bible	UNPRINTABLE	Source	count	0	NOTICE
Janji---Janji-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Janji---Janji-Bible	UNICODE	Summary	(-)Orginal	53	NOTICE
Janji---Janji-Bible	UNICODE	Summary	(+)Aionian	55	NOTICE
Janji---Janji-Bible	UNICODE	Source(-)	Basic Latin : (M)	3503	NOTICE
Janji---Janji-Bible	UNICODE	Source(-)	Basic Latin : (A)	8350	NOTICE
Janji---Janji-Bible	UNICODE	Source(-)	Basic Latin : ( )	185247	NOTICE
Janji---Janji-Bible	UNICODE	Source(-)	Basic Latin : (1)	8063	NOTICE
Janji---Janji-Bible	UNICODE	Source(-)	Basic Latin : (:)	7981	NOTICE
Janji---Janji-Bible	UNICODE	Source(-)	Basic Latin : (t)	19515	NOTICE
Janji---Janji-Bible	UNICODE	Source(-)	Basic Latin : (u)	64402	NOTICE
Janji---Janji-Bible	UNICODE	Source(-)	Basic Latin : (b)	18613	NOTICE
Janji---Janji-Bible	UNICODE	Source(-)	Basic Latin : (a)	121573	NOTICE
