# File Name: Holy-Bible---Holy-Bible---Japanese---Japanese-Kougo-yaku---Analysis.txt
# File Size: 376586      
# File Date: 12/13/2025 05:41:17
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: 口語訳「聖書」
# Bible Name English: Japanese Kougo-yaku, Colloquial
# Bible Language: 日本語
# Bible Language English: Japanese
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Colloquial Japanese Bible by the Japan Bible Society
# Bible Source Version: 8/18/2017
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=JapKougo
# Bible Source Year: 1954-1955
# Bible Description: Psalm 130-139, Proverb 30-31 from Meiji / Matthew 25-28, John 19, Roman 10 from Bungo
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Japanese---Japanese-Kougo-yaku	ENCODING	Source	Holy-Bible---Japanese---Japanese-Kougo-yaku---Source-Edition.SWORD.txt	UTF-8	NOTICE
Japanese---Japanese-Kougo-yaku	ENCODING	Aionian	Holy-Bible---Japanese---Japanese-Kougo-yaku---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Japanese---Japanese-Kougo-yaku	BYTES	Source	bytes / chars	7609454 / 4132204 (multi-byte)	NOTICE
Japanese---Japanese-Kougo-yaku	BYTES	Aionian	bytes / chars	5805859 / 2292615 (multi-byte)	NOTICE
Japanese---Japanese-Kougo-yaku	BYTES	SourceClean	bytes / chars	5667123 / 2189873 (multi-byte)	NOTICE
Japanese---Japanese-Kougo-yaku	BYTES	AionianClean	bytes / chars	5801565 / 2289101 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Japanese---Japanese-Kougo-yaku	AIONIAN	Aionian	book-not-exist	0	NOTICE
Japanese---Japanese-Kougo-yaku	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Japanese---Japanese-Kougo-yaku	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Japanese---Japanese-Kougo-yaku	AIONIAN	Aionian	missing-chapter	0	NOTICE
Japanese---Japanese-Kougo-yaku	AIONIAN	Aionian	missing-verse	0	NOTICE
Japanese---Japanese-Kougo-yaku	AIONIAN	Aionian	aionian-verses	264	NOTICE
Japanese---Japanese-Kougo-yaku	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Japanese---Japanese-Kougo-yaku	UNPRINTABLE	Source	count	0	NOTICE
Japanese---Japanese-Kougo-yaku	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Japanese---Japanese-Kougo-yaku	UNICODE	Summary	(-)Orginal	812	NOTICE
Japanese---Japanese-Kougo-yaku	UNICODE	Summary	(+)Aionian	1054	NOTICE
Japanese---Japanese-Kougo-yaku	UNICODE	Source(-)	Basic Latin : (G)	1682	NOTICE
Japanese---Japanese-Kougo-yaku	UNICODE	Source(-)	Basic Latin : (e)	23818	NOTICE
Japanese---Japanese-Kougo-yaku	UNICODE	Source(-)	Basic Latin : (n)	11162	NOTICE
Japanese---Japanese-Kougo-yaku	UNICODE	Source(-)	Basic Latin : (s)	22952	NOTICE
Japanese---Japanese-Kougo-yaku	UNICODE	Source(-)	Basic Latin : (i)	15003	NOTICE
