# File Name: Holy-Bible---Holy-Bible---Japanese---Japanese-Raguet-yaku---Analysis.txt
# File Size: 280466      
# File Date: 12/13/2025 05:41:28
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ラゲ訳「我主イエズスキリストの新約聖書」
# Bible Name English: Japanese Raguet-yaku 1910
# Bible Language: 日本語
# Bible Language English: Japanese
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Emile Raguet of Belgium
# Bible Source Version: 8/18/2017
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=JapRaguet
# Bible Source Year: 1910
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Japanese---Japanese-Raguet-yaku	ENCODING	Source	Holy-Bible---Japanese---Japanese-Raguet-yaku---Source-Edition.SWORD.txt	UTF-8	NOTICE
Japanese---Japanese-Raguet-yaku	ENCODING	Aionian	Holy-Bible---Japanese---Japanese-Raguet-yaku---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Japanese---Japanese-Raguet-yaku	BYTES	Source	bytes / chars	1979595 / 1286901 (multi-byte)	NOTICE
Japanese---Japanese-Raguet-yaku	BYTES	Aionian	bytes / chars	1177092 / 486661 (multi-byte)	NOTICE
Japanese---Japanese-Raguet-yaku	BYTES	SourceClean	bytes / chars	1158090 / 465396 (multi-byte)	NOTICE
Japanese---Japanese-Raguet-yaku	BYTES	AionianClean	bytes / chars	1174417 / 484470 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Japanese---Japanese-Raguet-yaku	AIONIAN	Aionian	book-not-exist	0	NOTICE
Japanese---Japanese-Raguet-yaku	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Japanese---Japanese-Raguet-yaku	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Japanese---Japanese-Raguet-yaku	AIONIAN	Aionian	missing-chapter	0	NOTICE
Japanese---Japanese-Raguet-yaku	AIONIAN	Aionian	missing-verse	0	NOTICE
Japanese---Japanese-Raguet-yaku	AIONIAN	Aionian	aionian-verses	200	NOTICE
Japanese---Japanese-Raguet-yaku	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Japanese---Japanese-Raguet-yaku	UNPRINTABLE	Source	count	0	NOTICE
Japanese---Japanese-Raguet-yaku	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Japanese---Japanese-Raguet-yaku	UNICODE	Summary	(-)Orginal	308	NOTICE
Japanese---Japanese-Raguet-yaku	UNICODE	Summary	(+)Aionian	314	NOTICE
Japanese---Japanese-Raguet-yaku	UNICODE	Source(-)	Basic Latin : (M)	1795	NOTICE
Japanese---Japanese-Raguet-yaku	UNICODE	Source(-)	Basic Latin : (a)	4637	NOTICE
Japanese---Japanese-Raguet-yaku	UNICODE	Source(-)	Basic Latin : (t)	4976	NOTICE
Japanese---Japanese-Raguet-yaku	UNICODE	Source(-)	Basic Latin : (h)	3943	NOTICE
Japanese---Japanese-Raguet-yaku	UNICODE	Source(-)	Basic Latin : (e)	4588	NOTICE
Japanese---Japanese-Raguet-yaku	UNICODE	Source(-)	Basic Latin : (w)	1417	NOTICE
