# File Name: Holy-Bible---Holy-Bible---Juray---Juray-Bible---Analysis.txt
# File Size: 28691       
# File Date: 12/13/2025 05:41:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ଆଜାଡ଼ି ତଙରନ୍‌
# Bible Name English: Juray Bible
# Bible Language: Juray
# Bible Language English: Juray
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=juy
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Juray---Juray-Bible	ENCODING	Source	Holy-Bible---Juray---Juray-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Juray---Juray-Bible	ENCODING	Aionian	Holy-Bible---Juray---Juray-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Juray---Juray-Bible	BYTES	Source	bytes / chars	3607004 / 1367138 (multi-byte)	NOTICE
Juray---Juray-Bible	BYTES	Aionian	bytes / chars	3664910 / 1424522 (multi-byte)	NOTICE
Juray---Juray-Bible	BYTES	SourceClean	bytes / chars	3606206 / 1366340 (multi-byte)	NOTICE
Juray---Juray-Bible	BYTES	AionianClean	bytes / chars	3662467 / 1422413 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Juray---Juray-Bible	AIONIAN	Aionian	book-not-exist	64	NOTICE
Juray---Juray-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Juray---Juray-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Juray---Juray-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Juray---Juray-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Juray---Juray-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Juray---Juray-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Juray---Juray-Bible	UNPRINTABLE	Source	count	0	NOTICE
Juray---Juray-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Juray---Juray-Bible	UNICODE	Summary	(-)Orginal	27	NOTICE
Juray---Juray-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : ( )	163897	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : (1)	8052	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : (:)	7959	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : (\n)	7959	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : (2)	5146	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : (,)	15179	NOTICE
Juray---Juray-Bible	UNICODE	Source(-)	Basic Latin : (3)	2734	NOTICE
