# File Name: Holy-Bible---Holy-Bible---Kannada---Indian-Revised-Version---Analysis.txt
# File Size: 109236      
# File Date: 12/13/2025 05:41:56
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ಇಂಡಿಯನ್ ರಿವೈಜ್ಡ್ ವರ್ಸನ್
# Bible Name English: Kannada Indian Revised Version
# Bible Language: ಕನ್ನಡ
# Bible Language English: Kannada
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bridge Connectivity Solutions
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=kanirv
# Bible Source Year: 2017, 2019
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kannada---Indian-Revised-Version	ENCODING	Source	Holy-Bible---Kannada---Indian-Revised-Version---Source-Edition.VPL.txt	UTF-8	NOTICE
Kannada---Indian-Revised-Version	ENCODING	Aionian	Holy-Bible---Kannada---Indian-Revised-Version---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kannada---Indian-Revised-Version	BYTES	Source	bytes / chars	10784715 / 4140027 (multi-byte)	NOTICE
Kannada---Indian-Revised-Version	BYTES	Aionian	bytes / chars	10998963 / 4353520 (multi-byte)	NOTICE
Kannada---Indian-Revised-Version	BYTES	SourceClean	bytes / chars	10783874 / 4139186 (multi-byte)	NOTICE
Kannada---Indian-Revised-Version	BYTES	AionianClean	bytes / chars	10995061 / 4350186 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kannada---Indian-Revised-Version	AIONIAN	Aionian	missing-verse	042-LUK-001-055	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	missing-verse	045-ROM-016-026	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	missing-verse	049-EPH-003-011	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	missing-verse	056-TIT-003-007	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	missing-verse	058-HEB-006-002	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	missing-verse	058-HEB-013-021	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	missing-verse	6	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	aionian-verses	258	NOTICE
Kannada---Indian-Revised-Version	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kannada---Indian-Revised-Version	UNPRINTABLE	Source	count	0	NOTICE
Kannada---Indian-Revised-Version	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kannada---Indian-Revised-Version	UNICODE	Summary	(-)Orginal	31	NOTICE
Kannada---Indian-Revised-Version	UNICODE	Summary	(+)Aionian	54	NOTICE
