# File Name: Holy-Bible---Holy-Bible---Kannada---Siddi-Bible---Analysis.txt
# File Size: 19962       
# File Date: 12/13/2025 05:42:26
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ದೆವಾಚಿ ಖರಿ ಖಬರ್
# Bible Name English: Siddi Bible
# Bible Language: ಕನ್ನಡ
# Bible Language English: Kannada
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World South Asia
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=kans
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kannada---Siddi-Bible	ENCODING	Source	Holy-Bible---Kannada---Siddi-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kannada---Siddi-Bible	ENCODING	Aionian	Holy-Bible---Kannada---Siddi-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kannada---Siddi-Bible	BYTES	Source	bytes / chars	3236499 / 1252793 (multi-byte)	NOTICE
Kannada---Siddi-Bible	BYTES	Aionian	bytes / chars	3295813 / 1311413 (multi-byte)	NOTICE
Kannada---Siddi-Bible	BYTES	SourceClean	bytes / chars	3235684 / 1251978 (multi-byte)	NOTICE
Kannada---Siddi-Bible	BYTES	AionianClean	bytes / chars	3293080 / 1309186 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kannada---Siddi-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kannada---Siddi-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kannada---Siddi-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Kannada---Siddi-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kannada---Siddi-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kannada---Siddi-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Kannada---Siddi-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kannada---Siddi-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kannada---Siddi-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kannada---Siddi-Bible	UNICODE	Summary	(-)Orginal	30	NOTICE
Kannada---Siddi-Bible	UNICODE	Summary	(+)Aionian	55	NOTICE
Kannada---Siddi-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Kannada---Siddi-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Kannada---Siddi-Bible	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Kannada---Siddi-Bible	UNICODE	Source(-)	Basic Latin : ( )	171443	NOTICE
Kannada---Siddi-Bible	UNICODE	Source(-)	Basic Latin : (1)	8051	NOTICE
Kannada---Siddi-Bible	UNICODE	Source(-)	Basic Latin : (:)	8068	NOTICE
Kannada---Siddi-Bible	UNICODE	Source(-)	Basic Latin : (.)	9266	NOTICE
Kannada---Siddi-Bible	UNICODE	Source(-)	Basic Latin : (\n)	7958	NOTICE
Kannada---Siddi-Bible	UNICODE	Source(-)	Basic Latin : (2)	5145	NOTICE
