# File Name: Holy-Bible---Holy-Bible---Kara---Kara-Bible---Analysis.txt
# File Size: 32710       
# File Date: 12/13/2025 05:42:32
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kikara Bible
# Bible Name English: Kara Bible
# Bible Language: Kikara
# Bible Language English: Kara
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Door43 World Missions Community
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=reg
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kara---Kara-Bible	ENCODING	Source	Holy-Bible---Kara---Kara-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kara---Kara-Bible	ENCODING	Aionian	Holy-Bible---Kara---Kara-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kara---Kara-Bible	BYTES	Source	bytes / chars	1103913 / 1097214 (multi-byte)	NOTICE
Kara---Kara-Bible	BYTES	Aionian	bytes / chars	1162584 / 1155697 (multi-byte)	NOTICE
Kara---Kara-Bible	BYTES	SourceClean	bytes / chars	1103108 / 1096409 (multi-byte)	NOTICE
Kara---Kara-Bible	BYTES	AionianClean	bytes / chars	1160377 / 1153490 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kara---Kara-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kara---Kara-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kara---Kara-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Kara---Kara-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kara---Kara-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kara---Kara-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Kara---Kara-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kara---Kara-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kara---Kara-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kara---Kara-Bible	UNICODE	Summary	(-)Orginal	52	NOTICE
Kara---Kara-Bible	UNICODE	Summary	(+)Aionian	55	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (A)	5083	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (T)	2729	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : ( )	147277	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (1)	8074	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (:)	8103	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (E)	1990	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (c)	7296	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (h)	54706	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (i)	78029	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (t)	15744	NOTICE
Kara---Kara-Bible	UNICODE	Source(-)	Basic Latin : (a)	135230	NOTICE
