# File Name: Holy-Bible---Holy-Bible---Kinga---Mahanji-Bible---Analysis.txt
# File Size: 42979       
# File Date: 12/13/2025 05:42:38
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Mahanji Bible
# Bible Name English: Kinga Bible
# Bible Language: Mahanji
# Bible Language English: Kinga
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Door43 World Missions Community
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=zgam
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kinga---Mahanji-Bible	ENCODING	Source	Holy-Bible---Kinga---Mahanji-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kinga---Mahanji-Bible	ENCODING	Aionian	Holy-Bible---Kinga---Mahanji-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kinga---Mahanji-Bible	BYTES	Source	bytes / chars	1071020 / 1064458 (multi-byte)	NOTICE
Kinga---Mahanji-Bible	BYTES	Aionian	bytes / chars	1129231 / 1122484 (multi-byte)	NOTICE
Kinga---Mahanji-Bible	BYTES	SourceClean	bytes / chars	1070216 / 1063654 (multi-byte)	NOTICE
Kinga---Mahanji-Bible	BYTES	AionianClean	bytes / chars	1127083 / 1120336 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kinga---Mahanji-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kinga---Mahanji-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kinga---Mahanji-Bible	AIONIAN	Aionian	book-defined-not-exist	67	NOTICE
Kinga---Mahanji-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kinga---Mahanji-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kinga---Mahanji-Bible	AIONIAN	Aionian	aionian-verses	197	NOTICE
Kinga---Mahanji-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kinga---Mahanji-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kinga---Mahanji-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kinga---Mahanji-Bible	UNICODE	Summary	(-)Orginal	54	NOTICE
Kinga---Mahanji-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Kinga---Mahanji-Bible	UNICODE	Source(-)	Basic Latin : (M)	3434	NOTICE
Kinga---Mahanji-Bible	UNICODE	Source(-)	Basic Latin : (A)	4651	NOTICE
Kinga---Mahanji-Bible	UNICODE	Source(-)	Basic Latin : (T)	2773	NOTICE
Kinga---Mahanji-Bible	UNICODE	Source(-)	Basic Latin : ( )	133064	NOTICE
Kinga---Mahanji-Bible	UNICODE	Source(-)	Basic Latin : (1)	8031	NOTICE
Kinga---Mahanji-Bible	UNICODE	Source(-)	Basic Latin : (:)	8037	NOTICE
Kinga---Mahanji-Bible	UNICODE	Source(-)	Basic Latin : (k)	45946	NOTICE
Kinga---Mahanji-Bible	UNICODE	Source(-)	Basic Latin : (h)	61195	NOTICE
Kinga---Mahanji-Bible	UNICODE	Source(-)	Basic Latin : (i)	72911	NOTICE
