# File Name: Holy-Bible---Holy-Bible---Kituba---Kituba-Bible---Analysis.txt
# File Size: 226225      
# File Date: 12/13/2025 05:42:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Mambu ya Nzambi
# Bible Name English: Kituba Bible
# Bible Language: Monokutuba
# Bible Language English: Kituba
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wycliffe Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=mkw
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kituba---Kituba-Bible	ENCODING	Source	Holy-Bible---Kituba---Kituba-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kituba---Kituba-Bible	ENCODING	Aionian	Holy-Bible---Kituba---Kituba-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kituba---Kituba-Bible	BYTES	Source	bytes / chars	5354247 / 5336994 (multi-byte)	NOTICE
Kituba---Kituba-Bible	BYTES	Aionian	bytes / chars	5561240 / 5543799 (multi-byte)	NOTICE
Kituba---Kituba-Bible	BYTES	SourceClean	bytes / chars	5353434 / 5336181 (multi-byte)	NOTICE
Kituba---Kituba-Bible	BYTES	AionianClean	bytes / chars	5557769 / 5540328 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kituba---Kituba-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kituba---Kituba-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kituba---Kituba-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Kituba---Kituba-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kituba---Kituba-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kituba---Kituba-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Kituba---Kituba-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kituba---Kituba-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kituba---Kituba-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kituba---Kituba-Bible	UNICODE	Summary	(-)Orginal	50	NOTICE
Kituba---Kituba-Bible	UNICODE	Summary	(+)Aionian	56	NOTICE
Kituba---Kituba-Bible	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Kituba---Kituba-Bible	UNICODE	Source(-)	Basic Latin : (E)	13597	NOTICE
Kituba---Kituba-Bible	UNICODE	Source(-)	Basic Latin : (N)	29244	NOTICE
Kituba---Kituba-Bible	UNICODE	Source(-)	Basic Latin : ( )	941130	NOTICE
Kituba---Kituba-Bible	UNICODE	Source(-)	Basic Latin : (1)	30907	NOTICE
Kituba---Kituba-Bible	UNICODE	Source(-)	Basic Latin : (:)	39791	NOTICE
Kituba---Kituba-Bible	UNICODE	Source(-)	Basic Latin : (a)	825234	NOTICE
Kituba---Kituba-Bible	UNICODE	Source(-)	Basic Latin : (m)	214369	NOTICE
Kituba---Kituba-Bible	UNICODE	Source(-)	Basic Latin : (b)	167318	NOTICE
