# File Name: Holy-Bible---Holy-Bible---Kizalamo---Zaramo-Kizalamo-Bible---Analysis.txt
# File Size: 48568       
# File Date: 12/13/2025 05:42:52
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bibilia ya Kizalamo
# Bible Name English: Kizalamo Bible
# Bible Language: Zaramo
# Bible Language English: Kizalamo
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Pioneer Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=zajp
# Bible Source Year: 2023
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kizalamo---Zaramo-Kizalamo-Bible	ENCODING	Source	Holy-Bible---Kizalamo---Zaramo-Kizalamo-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	ENCODING	Aionian	Holy-Bible---Kizalamo---Zaramo-Kizalamo-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kizalamo---Zaramo-Kizalamo-Bible	BYTES	Source	bytes / chars	1502086 / 1488716 (multi-byte)	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	BYTES	Aionian	bytes / chars	1578417 / 1564859 (multi-byte)	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	BYTES	SourceClean	bytes / chars	1501249 / 1487879 (multi-byte)	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	BYTES	AionianClean	bytes / chars	1576163 / 1562605 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kizalamo---Zaramo-Kizalamo-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	AIONIAN	Aionian	book-defined-not-exist	60	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	AIONIAN	Aionian	aionian-verses	204	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kizalamo---Zaramo-Kizalamo-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kizalamo---Zaramo-Kizalamo-Bible	UNICODE	Summary	(-)Orginal	49	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : (G)	2191	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : (E)	4666	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : ( )	207953	NOTICE
Kizalamo---Zaramo-Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : (1)	10118	NOTICE
