# File Name: Holy-Bible---Holy-Bible---Koda---Koda-Bible---Analysis.txt
# File Size: 139878      
# File Date: 12/13/2025 05:42:55
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: কড়া অনুবাদ
# Bible Name English: Koda Bible
# Bible Language: কোডা
# Bible Language English: Koda
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bridge Connectivity Solutions
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=cdz
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Koda---Koda-Bible	ENCODING	Source	Holy-Bible---Koda---Koda-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Koda---Koda-Bible	ENCODING	Aionian	Holy-Bible---Koda---Koda-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Koda---Koda-Bible	BYTES	Source	bytes / chars	1460878 / 577908 (multi-byte)	NOTICE
Koda---Koda-Bible	BYTES	Aionian	bytes / chars	1488199 / 605000 (multi-byte)	NOTICE
Koda---Koda-Bible	BYTES	SourceClean	bytes / chars	1460073 / 577103 (multi-byte)	NOTICE
Koda---Koda-Bible	BYTES	AionianClean	bytes / chars	1486433 / 603412 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Koda---Koda-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Koda---Koda-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Koda---Koda-Bible	AIONIAN	Aionian	book-defined-not-exist	211	NOTICE
Koda---Koda-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Koda---Koda-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Koda---Koda-Bible	AIONIAN	Aionian	aionian-verses	53	NOTICE
Koda---Koda-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Koda---Koda-Bible	UNPRINTABLE	Source	count	0	NOTICE
Koda---Koda-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Koda---Koda-Bible	UNICODE	Summary	(-)Orginal	30	NOTICE
Koda---Koda-Bible	UNICODE	Summary	(+)Aionian	45	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : (M)	678	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : (A)	1833	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : ( )	93802	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : (1)	4104	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : (:)	3944	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : (\n)	3799	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : (2)	2506	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : (,)	6238	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : (3)	1440	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : (()	198	NOTICE
Koda---Koda-Bible	UNICODE	Source(-)	Basic Latin : ())	179	NOTICE
