# File Name: Holy-Bible---Holy-Bible---Korean---Korean-1910---Analysis.txt
# File Size: 187517      
# File Date: 12/13/2025 05:43:08
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: 개역성경
# Bible Name English: Korean 1910 Bible
# Bible Language: 한국어
# Bible Language English: Korean
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: William D. Reynolds, Lee Seung Doo, Kim Jung Sam
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=kor
# Bible Source Year: 1910
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Korean---Korean-1910	ENCODING	Source	Holy-Bible---Korean---Korean-1910---Source-Edition.VPL.txt	UTF-8	NOTICE
Korean---Korean-1910	ENCODING	Aionian	Holy-Bible---Korean---Korean-1910---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Korean---Korean-1910	BYTES	Source	bytes / chars	4728247 / 2090227 (multi-byte)	NOTICE
Korean---Korean-1910	BYTES	Aionian	bytes / chars	4934117 / 2297859 (multi-byte)	NOTICE
Korean---Korean-1910	BYTES	SourceClean	bytes / chars	4727466 / 2089446 (multi-byte)	NOTICE
Korean---Korean-1910	BYTES	AionianClean	bytes / chars	4930433 / 2294663 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Korean---Korean-1910	AIONIAN	Aionian	missing-verse	019-PSA-016-010	NOTICE
Korean---Korean-1910	AIONIAN	Aionian	missing-chapter	060-1PE-005-001	ERROR
Korean---Korean-1910	AIONIAN	Aionian	missing-chapter	060-1PE-005-001	ERROR
Korean---Korean-1910	AIONIAN	Aionian	book-not-exist	0	NOTICE
Korean---Korean-1910	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Korean---Korean-1910	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Korean---Korean-1910	AIONIAN	Aionian	missing-chapter	2	ERROR
Korean---Korean-1910	AIONIAN	Aionian	missing-verse	1	NOTICE
Korean---Korean-1910	AIONIAN	Aionian	aionian-verses	261	NOTICE
Korean---Korean-1910	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Korean---Korean-1910	UNPRINTABLE	Source	count	0	NOTICE
Korean---Korean-1910	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Korean---Korean-1910	UNICODE	Summary	(-)Orginal	308	NOTICE
Korean---Korean-1910	UNICODE	Summary	(+)Aionian	314	NOTICE
Korean---Korean-1910	UNICODE	Source(-)	Basic Latin : (G)	2324	NOTICE
Korean---Korean-1910	UNICODE	Source(-)	Basic Latin : (E)	10875	NOTICE
Korean---Korean-1910	UNICODE	Source(-)	Basic Latin : (N)	3665	NOTICE
Korean---Korean-1910	UNICODE	Source(-)	Basic Latin : ( )	495638	NOTICE
Korean---Korean-1910	UNICODE	Source(-)	Basic Latin : (1)	30330	NOTICE
Korean---Korean-1910	UNICODE	Source(-)	Basic Latin : (:)	31019	NOTICE
Korean---Korean-1910	UNICODE	Source(-)	Hangul Syllables : (에)	36195	NOTICE
Korean---Korean-1910	UNICODE	Source(-)	Hangul Syllables : (하)	55832	NOTICE
