# File Name: Holy-Bible---Holy-Bible---Korean---Korean-RV---Analysis.txt
# File Size: 139900      
# File Date: 12/13/2025 05:43:17
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: 개역성경
# Bible Name English: Korean Revised Version
# Bible Language: 한국어
# Bible Language English: Korean
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Korean Revised Version
# Bible Source Version: 10/7/2018
# Bible Source Link: https://unbound.biola.edu
# Bible Source Year: 1952, 1961
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Korean---Korean-RV	ENCODING	Source	Holy-Bible---Korean---Korean-RV---Source-Edition.UNBOUND.txt	UTF-8	NOTICE
Korean---Korean-RV	ENCODING	Aionian	Holy-Bible---Korean---Korean-RV---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Korean---Korean-RV	BYTES	Source	bytes / chars	4802693 / 2138803 (multi-byte)	NOTICE
Korean---Korean-RV	BYTES	Aionian	bytes / chars	4980162 / 2315972 (multi-byte)	NOTICE
Korean---Korean-RV	BYTES	SourceClean	bytes / chars	4801720 / 2137830 (multi-byte)	NOTICE
Korean---Korean-RV	BYTES	AionianClean	bytes / chars	4976508 / 2312806 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Korean---Korean-RV	AIONIAN	Aionian	missing-verse	019-PSA-016-010	NOTICE
Korean---Korean-RV	AIONIAN	Aionian	book-not-exist	0	NOTICE
Korean---Korean-RV	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Korean---Korean-RV	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Korean---Korean-RV	AIONIAN	Aionian	missing-chapter	0	NOTICE
Korean---Korean-RV	AIONIAN	Aionian	missing-verse	1	NOTICE
Korean---Korean-RV	AIONIAN	Aionian	aionian-verses	263	NOTICE
Korean---Korean-RV	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Korean---Korean-RV	UNPRINTABLE	Source	count	0	NOTICE
Korean---Korean-RV	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Korean---Korean-RV	UNICODE	Summary	(-)Orginal	92	NOTICE
Korean---Korean-RV	UNICODE	Summary	(+)Aionian	134	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Basic Latin : (0)	16371	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Basic Latin : (1)	38868	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Basic Latin : (O)	23171	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Basic Latin : (\t)	93381	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Hangul Syllables : (에)	36340	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Basic Latin : ( )	436434	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Hangul Syllables : (하)	58133	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Hangul Syllables : (나)	22406	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Hangul Syllables : (님)	4100	NOTICE
Korean---Korean-RV	UNICODE	Source(-)	Hangul Syllables : (이)	60508	NOTICE
