# File Name: Holy-Bible---Holy-Bible---Korean---Korean-Revised-Version---Analysis.txt
# File Size: 143956      
# File Date: 12/13/2025 05:43:25
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: 개역성경
# Bible Name English: Korean Revised Bible
# Bible Language: 한국어
# Bible Language English: Korean
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Korean Revised Version
# Bible Source Version: 4/27/2019
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=KorRV
# Bible Source Year: 1952, 1961
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Korean---Korean-Revised-Version	ENCODING	Source	Holy-Bible---Korean---Korean-Revised-Version---Source-Edition.SWORD.txt	UTF-8	NOTICE
Korean---Korean-Revised-Version	ENCODING	Aionian	Holy-Bible---Korean---Korean-Revised-Version---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Korean---Korean-Revised-Version	BYTES	Source	bytes / chars	4985932 / 2341786 (multi-byte)	NOTICE
Korean---Korean-Revised-Version	BYTES	Aionian	bytes / chars	4936620 / 2291814 (multi-byte)	NOTICE
Korean---Korean-Revised-Version	BYTES	SourceClean	bytes / chars	4876553 / 2232407 (multi-byte)	NOTICE
Korean---Korean-Revised-Version	BYTES	AionianClean	bytes / chars	4932919 / 2288601 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Korean---Korean-Revised-Version	AIONIAN	Aionian	book-not-exist	0	NOTICE
Korean---Korean-Revised-Version	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Korean---Korean-Revised-Version	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Korean---Korean-Revised-Version	AIONIAN	Aionian	missing-chapter	0	NOTICE
Korean---Korean-Revised-Version	AIONIAN	Aionian	missing-verse	0	NOTICE
Korean---Korean-Revised-Version	AIONIAN	Aionian	aionian-verses	264	NOTICE
Korean---Korean-Revised-Version	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Korean---Korean-Revised-Version	UNPRINTABLE	Source	count	0	NOTICE
Korean---Korean-Revised-Version	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Korean---Korean-Revised-Version	UNICODE	Summary	(-)Orginal	67	NOTICE
Korean---Korean-Revised-Version	UNICODE	Summary	(+)Aionian	71	NOTICE
Korean---Korean-Revised-Version	UNICODE	Source(-)	Basic Latin : ([)	7	NOTICE
Korean---Korean-Revised-Version	UNICODE	Source(-)	Basic Latin : ( )	507483	NOTICE
Korean---Korean-Revised-Version	UNICODE	Source(-)	Basic Latin : (T)	406	NOTICE
Korean---Korean-Revised-Version	UNICODE	Source(-)	Basic Latin : (e)	25007	NOTICE
Korean---Korean-Revised-Version	UNICODE	Source(-)	Basic Latin : (s)	24323	NOTICE
Korean---Korean-Revised-Version	UNICODE	Source(-)	Basic Latin : (t)	7679	NOTICE
Korean---Korean-Revised-Version	UNICODE	Source(-)	Basic Latin : (a)	16623	NOTICE
Korean---Korean-Revised-Version	UNICODE	Source(-)	Basic Latin : (m)	9620	NOTICE
Korean---Korean-Revised-Version	UNICODE	Source(-)	Basic Latin : (n)	11689	NOTICE
